ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
131,798716,A comparison of early gastric and post-pyloric feeding in critically ill patients: a meta-analysis.,nan,Drug Topics,nan,nan,61,7,1/13/01,1182-7,{Yong-Long ChiXiao-Lei ZhangNai-Feng TianYao-Sen WuXin-Lei WuXiang-Yang WangFang-Min MaoLi-Jun WuXu-Qi Hu}
664,681305,Pooled analysis of non-union re-operation infection and approach related complications after anterior odontoid screw fixation.,nan,Journal of Epidemiology and Community Health,nan,1932-6203,72,0,1/14/01,e103065,{Yong-Long ChiXiao-Lei ZhangNai-Feng TianYao-Sen WuXin-Lei WuXiang-Yang WangFang-Min MaoLi-Jun WuXu-Qi Hu}
872,691035,Cost-effectiveness of statins for primary prevention in patients newly diagnosed with type 2 diabetes in the Netherlands,nan,Journal of the American Medical Informatics Association : JAMIA,nan,2044-6055,0,9,1/14/01,421-7,{Dilokthornsakul P.Joo M.J.Lee T.A.Pickard A.S.Lin F.J.}
100,922795,Dietary practices of ballet jazz and modern dancers,nan,Nephrology dialysis transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association,J Am Diet Assoc,1079-0713,0,3,1/12/01,695-702,{Stensland SHSobal J}
373,180827,CO2 emission inventories for Chinese cities in highly urbanized areas compared with European cities,nan,nan,nan,0301-4215,360,4,1/12/01,298-308,{W. YuR. PaganiL. Huang}
88,240949,Forensic odontology: A prosthodontic view,nan,nan,nan,nan,91,1,1/5/04,29-38,{S. GosaviS. Gosavi}
459,850788,Motor cortex stimulation in patients with post-stroke pain: conscious somatosensory response and pain control,nan,Pain Medicine,nan,nan,48,4,1/9/01,42-53,{N. Klauber-DeMoreK. FechoN. R. MillerW. S. BlauS. A. MerrittC. S. Hultman}
331,67292,Usefulness of a Survey on Underage Drinking in a Rural American Indian Community Health Clinic,nan,nan,nan,nan,20,2,1/13/01,26-Jan,{Tom GromannRoland HetzerAlexander MladenowThorsten DrewsSemih BuzAxel UnbehaunStephan DreysseMiralem PasicMarian Kukucka}
215,77389,Cognitive impairment and risk of cardiovascular events and mortality.,nan,Critical reviews in oncology/hematology,nan,nan,0,7,1/12/10,130-48,{Emile E VoestSaskia C C M TeunissenAlexander de GraeffMarija Trajkovic-Vidakovic}
467,968211,Ebus-tbna yields multiple gene analyses and a panel of immunohistochemical stains on routinely prepared cell blocks in non-small cell lung cancer cases,nan,Cancer chemotherapy and pharmacology,nan,1827-1618,95,0,1/14/01,33-43,{R CarraroM F RasmussenL NiskanenA HarperN FinerS R_ssnerM KunesovaL Van GaalM E J LeanA AstrupA RissanenM J Savolainen[Collective Name] NN8022-1807 Investigators}
122,379988,Neighbourhood characteristics and mortality in the Atherosclerosis Risk in Communities Study,ger,Am J Obstet Gynecol,nan,nan,119,1,nan,110-6,{Peter J WinchMickey ChopraCynthia S MinkovitzDebra JacksonAlyssa B Sharkey}
615,929252,Outcomes from patients with multi-vessel disease following primary PCI: staged PCI imparts very low mortality.,ger,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,nan,1522-726X,19,0,2/6/08,e70858,{M.M.P. YangS.H. KokG.T.C. Lee}
21,82614,Lycopene metabolite apo-10'-lycopenoic acid inhibits diethylnitrosamine-initiated high fat diet-promoted hepatic inflammation and tumorigenesis in mice.,nan,European journal of pediatrics,nan,nan,5,12,1/1/00,nan,{Lynne M AusmanMartin S ObinXiang-Dong WangChun LiuBlanche C IpDonald E SmithKang-Quan Hu}
701,193292,Bullous impetigo in children infected with methicillin-resistant Staphylococcus aureus alone or in combination with methicillin-susceptible S. aureus: analysis of genetic characteristics including assessment of exfoliative toxin gene carriage,nan,nan,nan,nan,126,0,1/14/01,nan,{J. LeB. RiegelB. J. BobrowA. L. BlewerB. S. AbellaM. LearyD. Buckler}
72,826030,A cognitive behavior intervention program in women with unexplained chest pain--a pilot study,eng,Turkish Online Journal of Educational Technology - TOJET,Eur J Cardiovasc Nurs,nan,8,0,1/8/01,49-55,{Lowery M.}
107,84905,High intensity interval exercise training in overweight young women,nan,nan,nan,nan,52,0,2/28/14,255-62,{Y. FengyingY. HainaiW. JianxiongT. Sijie}
271,836847,Thoracic Aortic Aneurysm: Reading the Enemy's Playbook,nan,Curr. Probl. Cardiol.,nan,-10475,66,-1,nan,159-86,{Elefteriades J.A.}
861,470615,Direct healthcare costs and cost-effectiveness of acute coronary syndrome secondary prevention with ticagrelor compared to clopidogrel: Economic evaluation from the public payer's perspective in Poland based on the PLATO trial results,nan,nan,nan,nan,15,0,1/14/01,P3021,{S. L. LeeG. K. Sluis-CremerP. A. Hessel}
436,49274,Randomized double-blind placebo-controlled trial of the 5-HT1A receptor antagonist AZD7371 tartrate monohydrate (robalzotan tartrate monohydrate) in patients with irritable bowel syndrome,eng,nan,nan,nan,103,0,1/2/09,240-6,{J. NaesdalM. DanilewitzJ. AdlerD. G. DA  - Oct DO  - 10.1111/j.1572-0241.2008.02115.x DP  - NLM ET  - 2008/09/09 SilbergC. HwangD. A. Drossman}
103,491006,Nasal steroids in snorers can decrease snoring frequency: a randomized placebo-controlled crossover trial,English,nan,nan,nan,0,3,11/1/96,160-6,{Sabe SabesanPeter AikenLynden J RobertsSarah LarkinsAbhishek Joshi}
