id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
465176,Teaching medical student geriatrics competencies in 1 week: an efficient model to teach and document selected competencies using clinical and community resources,nan,-1,J.Am.Geriatr.Soc.,?,61,7,1/13/01,1182-7,{Jamehl L. DemonsJeff D. WilliamsonKathryn E. CallahanJames LovatoJanice S. LawlorHal H. AtkinsonAnn LambrosFranklin S. WatkinsKaycee M. SinkBrooke R. DavisMary F. Lyles}
nan,Pooled analysis of non-union re-operation infection and approach related complications after anterior odontoid screw fixation.,nan,KJlV One,PloS oˠne,nan,9,77,nan,e103065,{Yong-Long ChiXiao-Lei ZhangNai-Feng TianYao-Sen WuXin-Lei WuXiang-Yang WangFang-Min MaoLi-Jun WuXu-Qi Hu}
691035,Behaviour change interventions to promote prescribing of generic drugs: a rapid evidence synthesis and systematic review.,eng,Vmj Lpfn,nan,2044-6055,4,5,1/14/01,v004623,nan
4Ĳ20138,Eirtavy 'vscticrd os bwloet tqzv agf mpafrn dagbees,nan,Journal of the American Dietetic Association,J Am Diet Assoc,1878-3570,92,3,1/1/92,nan,{Stensland SHSobal J}
180827,seitic naeporuE htiw derapmoc saera dezinabru ylhgih ni seitic esenihC rof seirotnevni noissime 2OC,nan,-1,nan,nan,0,0,nan,Some college,{W. UnR. PqyaimL. Hownf}
220950,Forensic odontology: A prosthodontic view,eng,nan,nan,nan,4,nan,1/12/01,38-41,{S. GosaviS. Gosavi}
nan,Wcbtt and Pdeslwutue 'ovboperwtiyg Kzlu snvrr Brraar Xgrgvry,nan,Pain Mediӆcine,nan,nan,10,?,Alabama,708-715,{N. Klauber-DeMoreK. FechoN. R. MillerW. S. BlauS. A. MerrittC. S. Hultman}
352040,Insights in public health: taxing sugar sweetened beverages to improve public health: policy action in Hawai'i. Doctoral Health Policy Seminar Spring 2013,nan,Wkvricxv Ineyau znd Alsvls Nahntt Jsmtal Heantv Cescwrvh: Hye Bmnrual oy jhe Nwtppnal Xenedg,nan,nan,2b0,2,Alabama,26-Jan,{Joel W. GrubeJuan A. LunaDavid A. GilderJennifer RobertsDaniel CalacCindy L. EhlersRoland S. Moore}
77389,Symptoms tell it all: a systematic review of the value of symptom assessment to predict survival in advanced cancer patients.,eng,-1,nan,1879-0461,84,1,1/12/10,130-48,?
20010101,Ebus-tbna 㡥yields multiple gene analyses and a panel of immunohistochemical stains on routinely prepared cell blocks in non-small cell lung cancer cases,English,Laboratory Investigation,nan,7386-3200,59,0,1/15/01,100A,{S. MapthlI. Kinolrkaia}
843485,Pathways of care-seeking during fatal infant illnesses in under-resourced South African settings.,cng,Transactions of the Royal Society of Tropical Medicine and Hygiene,Trans. R. Soc. Trop. Med. Hyg.,1878-3503,72,2,Alabama,6-011,{Peter J WinchMickey ChopraCynthia S MinkovitzDebra JacksonAlyssa B Sharkey}
145770,Outcomes from patients with multi-vessel disease following primary PCI: staged PCI imparts very low mortality.,eng,snoitnevretnI & yhpargoignA caidraC rof yteicoS eht fo lanruoj laiciffo : snoitnevretni ralucsavoidrac dna noitaziretehtaC,nan,1522-7Ǯ26X,77,55,1/11/04,617-22,}kraP eeL yaKgetS leirbaG eppilihPn_dneS-zep_L soJsunaMcM D divaDeroG M leoJfreW ed naV snarFsrotagitsevnI ECARG ]emaN evitcelloC[suahgnirraB G truKdlareGztiF nodroGtocselatnoM selliG{
nan,.ecim ni sisenegiromut dna noitammalfni citapeh detomorp-teid taf hgih detaitini-enimasortinlyhteid stibihni dica cionepocyl-'01-opa etilobatem enepocyL,eng,Cancer prevention research (Philadelphia Pa.),nan,1940-6215,nan,12,nan,Some college,{Lynne M AusmanMartin S ObinXiang-Dong WangChun LiuBlanche C IpDonald E SmithKang-Quan Hu}
187769,Tropical infection after a case of total hip arthroplasty.,nan,nan,nan,nan,126,?,1/12/01,nan,{J. LeB. RiegelB. J. BobrowA. L. BlewerB. S. AbellaM. LearyD. Buckler}
826030,A flguitnxr bfhaxkor igbvrvcntjun ksogfam ib wjmen wltj ujzdljqimxe ghefh 'qij--a kilog fgyeh,eĺng,European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology,sruN csavoidraC J ruE,1474-ǉ5151,11,2,1/12/01,183-9,nan
nan,High intensity interval exercise training in overweight young women,nan,nan,nan,nan,52,?,1/12/01,Some college,}omevuT TnossrannuG RdnalkiW-nosstreblA KwohcinrezC P{
836847,Thoracic Aortic Aneurysm: Reading Ꮁthe Enemy's Playbook,nan,Curr. Probl. Cardiol.,nan,-10475,33,nan,nan,Some college,{Elefteriades J.A.}
470615,Can we improve the follow up of asthmatic patients with asthma educational program (PAMA)? [Abstract],nan,Turo'zzv rsskitatlrb upiggak,nan,nan,44,0,nan,nan,{Francitorra MESanchez GSManrique CAVelasco TTCastany A REscriche XFFernndez CSFornell LLlvarez SFernndez EARodriguez MVFSim_ MRMayo EP}
49274,nan,nan,nan,nan,nan,103,0,1/8/01,2562-9 ST  - Randomized double-blind placebo-controlled trial of the 5-HT1A receptor antagonist AZD7371 tartrate monohydrate (robalzotan tartrate monohydrate) in patients with irritable bowel syndrome-,{J. NaesdalM. DanilewitzJ. AdlerD. G. DA  - Oct DO  - 10.1111/j.1572-0241.2008.02115.x DP  - NLM ET  - 2008/09/09 SilbergC. HwangD. A. Drossman}
491006,20010101,English,nan,nan,nan,24,2,1/15/01,160-6,{A. KelirisI. KoutsourelakisA. MinaritzoglouSឰ. Zakynthinos}
