ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
131,334681,Teaching medical student geriatrics competencies in 1 week: an efficient model to teach and document selected competencies using clinical and community resources,nan,Journal of the American Geriatrics Society,J.Am.Geriatr.Soc.,14-Fec,nan,7,1/13/Ŕ01,7-2811,{Jalfju J. StiinfJafs Q. AoopidnsonKavmrtu D. VapoxhcnLemew LpxayoGshmcs W. LcckirHau H. EtikisojAun LcmbrovFvagkllk S. RwtjunsKqbcrx L. SinkNrjokw T. DaviwMstt F. Linev}
664,681305,nan,fng,-1,Some college,1932-6203,9,nan,Alabama,e103065,?
872,691035,20010101,Some college,Bmj Open,nan,nan,4,5,1/14/01,326400e,?
100,420138,Dietary practices of ballet jazz and modern dancers,nan,Ujyrnwl of the Qjrrigcn Vyetxtkc Afspgjatipn,J Am Diet Assoc,1878-3570,92,3,1/1/92,319-324,}J laboSHS dnalsnetS{
373,180827,CO2 emission inventories for Chinese cities in highly urbanized areas compared with European cities,nan,Ejwdft Ionicy,nan,nan,47,?,1/12/01,Some college,{W. YuR. PaganiL. Huang}
88,20010101,weiv citnodohtsorp A :ygolotnodo cisneroF,eng,nan,nan,nan,4,1,1/12/01,38-41,{S. GosaviS. Gosavi}
459,20010101,20010101,nan,nan,nan,nan,10,?,Alabama,708-715,{N. Klauber-DeMoreK. FechoN. R. MillerW. S. BlauS. A. MerrittC. S. Hultman}
331,352040,nan,nan,Qmfeirau Phbism snd Alasya Nadivc Menfal Mtaptm Rqdqdrcr: Hhg Jltrjzn on jhg Vatpjkxp Wgnjtg,nan,1533-7731,20,2,1/13/01,Some college,{Joel W. GrubeJuan A. LunaDavid A. GilderJennifer RobertsDaniel CalacCindy L. EhlersRoland S. Moore}
215,20010101,nan,Some college,Xepticql renitws mh otrmljty/vekdtpojey,Some college,nan,84,1,1/12/10,nan,{Emile E VoestSaskia C C M TeunissenAlexander de GraeffMarija Trajkovic-Vidakovic}
467,968211,Ebus-tbna yields multiple gene analyses and a panel of immunohistochemical stains on routinely prepared cell blocks in non-small cell lung cancer cases,Egtluah,-1,nan,nan,nan,0,Alabama,100A,{Z. MalekiO. Nikolskaia}
122,843485,20010101,eig,Tranazsnnmnw og nme Conql Vixieuy lf Tsuoywzl Mvaicngs qgd Rtglfue,nan,1878-3503,106,2,Alabama,110-6,{Peter J WinchMickey ChopraCynthia S MinkovitzDebra JacksonAlyssa B Sharkey}
615,145770,Ontrpmcs frok pafuevhs wiyk mulrh-fesrdu dkseawe gmlnosong [xjjcvy LBI: stagsq OCI im[arfs terj lus mogtcmjdh.,Some college,-1,nan,?,nan,?,Alabama,nan,{Gilles MontalescotGordon FitzGeraldKurt G Barringhaus[Collective Name] GRACE InvestigatorsFrans Van de WerfJoel M GoreDavid D McManusJos L_pez-Send_nPhilippe Gabriel StegKay Lee Park}
21,82614,.ecim ni sisenegiromut dna noitammalfni citapeh detomorp-teid taf hgih detaitini-enimasortinlyhteid stibihni dica cionepocyl-'01-opa etilobatem enepocyL,eng,-1,Some college,1940-6215,6,12,1/13/12,1304-16,nan
701,187769,Feasibility of using hospital personnel to create a sustainable CPR training program for family members of hospitalized patients,nan,nan,nan,nan,126,?,nan,nan,?
72,nan,A cognitive behavior intervention program in women with unexplained chest pain--a pilot study,nan,ygoloidraC fo yteicoS naeporuE eht fo gnisruN ralucsavoidraC no puorG gnikroW eht fo lanruoj : gnisrun ralucsavoidrac fo lanruoj naeporuE,Gtw L Cerayuvxaz Murw,?,11,2,Alabama,183-Ă9,nan
107,764224,High intensity interval exercise training in overweight young women,nan,nan,nan,nan,52,3,1/12/01,255-62,{Y. FengyingY. HainaiW. JianxiongT. Sijie}
271,836847,Thoracic Aortic Aneurysm: Reading the Enemy's Playbook,nan,Curr. Probl. Cardiol.,nan,-10475,Some college,5,nan,nan,{Elefteriades J.A.}
861,nan,20010101,nan,European respiratory journal,nan,nan,44,0,Alabama,P3021,{Francitorra MESanchez GS㗯Manrique CAVelasco TTCastany A REscriche XFFernndez CSFornell LLlvarez SFernndez EARodriguez MVFSim_ MRMayo EP}
436,49274,nan,eng,nan,nan,nan,103,00,1/8/01,2562-9 ST  - Randomi䡦zed double-blind placebo-controlled trial of the 5-HT1A receptor antagonist AZD7371 tartrate monohydrate (robalzotan tartrate monohydrate) in patients with irritable bowel syndrome-,{J. NaesdalM. DanilewitzJ. AdlerD. G. DA  - Oct DO  - 10.1111/j.1572-0241.2008.02115.x DP  - NLM ET  - 2008/09/09 SilbergC. HwangD. A. Drossman}
103,491006,Nasal steroids in snorers can decrease snoring frequency: a randomized placebo-controlled crossover trial,Ekflyxi,nan,nan,nan,Some college,nan,1/15/01,160-6,{X. KdlkrisJ. HmutsojsepwknsA. JinqfihzoyjooR. Aaknnjhitos}
