id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1436,Almanac IPA,Scottish Ale,12,0.063,nan,408,10 Barrel Brewing Company,Knoxville,OR
2265,Baby Daddy Session IPA,American Double / Imperial IPA,16,nan,nan,177,18th Street Brewery,Gary,CA
774,Valkyrie Double IPA,American IPA,12,0.071,nan,177,18th Street Brewery,Gary,IN
2263,Montana Trout Slayer Ale,American Double / Imperial IPA,12,0.065,nan,542,18th Street Brewery,Gary,KS
1603,Sex and Candy,American IPA,12,nan,nan,177,18th Street Brewery,Gary,IN
1470,Black Exodus,Fruit / Vegetable Beer,16,0.077,nan,149,Vault Brewing Company,Gary,IN
2260,The 26th,American Amber / Red Ale,12,0.045,nan,177,18th Street Brewery,Lyons,IN
2259,Cache La Porter,American IPA,12,0.065,nan,177,18th Street Brewery,Aurora,IN
1622,Jade,American Pale Ale (APA),12,0.072,nan,177,18th Street Brewery,Gary,IN
2131,Cone Crusher,American Double / Imperial IPA,12,0.08,nan,170,18th Street Brewery,Kalona,IN
2282,Sophomoric Saison,Saison / Farmhouse Ale,12,0.072,nan,531,18th Street Brewery,Gary,IN
1940,Regional Ring Of Fire,Saison / Farmhouse Ale,12,0.073,nan,548,Tallgrass Brewing Company,Gary,CO
2097,Garce Selé,American Brown Ale,12,0.069,nan,177,18th Street Brewery,Gary,IN
1731,Broad Brook Ale,Belgian Pale Ale,12,0.06,nan,177,Pete's Brewing Company,Brooklyn,IL
1979,Bitter Bitch,American Pale Ale (APA),12,0.061,8,540,18th Street Brewery,Gary,OR
2318,Sea Dog Wild Blueberry Wheat Ale,Berliner Weissbier,12,0.052,nan,555,2 Towns Ciderhouse,Albuquerque,OR
5,Cherried Away,American Brown Ale,24,0.052,nan,154,Half Acre Beer Company,Nellysford,OR
2169,Rhubarbarian,American Amber / Red Ale,12,0.06,nan,154,Oskar Blues Brewery,Minnetonka,OR
736,BrightCider,Cider,16,0.06,nan,154,2 Towns Ciderhouse,Boston,OR
1315,He Said Baltic-Style Porter,English Stout,12,0.07,nan,368,21st Amendment Brewery,West Chester,CA
1833,En Parfaite Harmonie,California Common / Steam Beer,12,0.052,nan,368,Finch's Beer Company,Kona,WI
1036,Lower De Boom,Gose,16,0.099,nan,229,21st Amendment Brewery,San Francisco,CA
389,McKinney Eddy Amber Ale,Winter Warmer,12,0.079,15,368,21st Amendment Brewery,San Francisco,CO
976,Oktoberfest,American Stout,12,0.079,nan,124,21st Amendment Brewery,Stevens Point,CA
876,Bitter American,American Pale Ale (APA),12,0.059,42,368,21st Amendment Brewery,San Francisco,CA
802,Huber,American Amber / Red Ale,12,0.049,17,191,Fearless Brewing Company,San Francisco,CA
1735,Circuit Bohemian Pilsner,Czech Pilsener,16,0.049,25,368,21st Amendment Brewery,San Francisco,CA
800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12,0.051,nan,247,Brewery Vivant,Brevard,CA
1263,Zen,American IPA,12,0.035,nan,104,Rivertowne Brewing Company,New Orleans,CA
797,Brew Free! or Die IPA (2008),American IPA,12,nan,10,368,21st Amendment Brewery,San Francisco,CA
868,Paleo IPA,American IPA,12,0.048,nan,368,Wachusett Brewing Company,San Francisco,VT
531,Special Edition: Allies Win The War!,American Pale Ale (APA),16,0.085,26,277,Brewery Vivant,San Francisco,CA
432,Hop Crisis,American Amber / Red Ale,12,0.097,94,237,Four String Brewing Company,San Francisco,IL
353,Bitter American (2011),American Pale Ale (APA),12,0.072,55,368,White Birch Brewing,San Francisco,CA
321,Fireside Chat (2010),Winter Warmer,12,0.079,nan,368,Fort George Brewery,San Antonio,PA
173,Harpoon Octoberfest,American Black Ale,12,0.087,65,368,21st Amendment Brewery,San Francisco,NC
2637,Monk's Blood,American IPA,12,0.083,45,368,21st Amendment Brewery,Longmont,CA
1076,Brew Free! or Die IPA,American Brown Ale,12,0.07,65,166,Big Storm Brewing Company,Kona,CA
2113,Hell or High Watermelon Wheat,American Pale Ale (APA),12,0.049,17,441,21st Amendment Brewery,San Francisco,HI
2519,Ex Umbris Rye Imperial Stout,American IPA,12,0.07,nan,67,Anderson Valley Brewing Company,Lafayette,PA
1554,Fearless Scottish Ale,American Blonde Ale,12,0.05,nan,67,3 Daughters Brewing,St Petersburg,CO
2517,Rod Bender Red,American Amber / Red Ale,12,0.062,nan,67,Joseph James Brewing Company,St Petersburg,FL
1245,CANfusion Rye Bock,Light Lager,16,0.035,nan,60,Griffin Claw Brewing Company,San Diego,MO
1187,Back East Golden Ale,American Blonde Ale,12,0.06,nan,163,Back East Brewing Company,Gary,MO
2584,Persnickety Pale,American Pale Ale (APA),16,0.055,nan,60,Geneva Lake Brewing Company,Ipswich,AZ
2288,Narragansett Porter,American Amber / Red Ale,16,0.06,nan,55,4 Hands Brewing Company,Saint Louis,MO
