id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1436,Na Zdraví Pilsner,Rye Beer,16,0.05,nan,1,10 Barrel Brewing Company,Bend,CA
2116,Devil's Cup,American Pale Ale (APA),12,0.066,nan,276,18th Street Brewery,Gary,IN
863,Rise of the Phoenix,American IPA,12,0.071,nan,177,Swamp Head Brewery,Austin,IN
938,Sinister,American Double / Imperial IPA,12,0.047,nan,177,Saint Archer Brewery,Gary,MO
2262,WinterWonderGrass Festival Ale,American IPA,12,0.075,nan,177,18th Street Brewery,Gary,CO
2261,Gateway Kolsch Style Ale,Oatmeal Stout,16,0.077,nan,177,18th Street Brewery,Gary,CO
2260,Lake Street Express,American Pale Ale (APA),12,0.045,nan,10,Fort George Brewery,Gary,IN
932,Apollo,American Porter,12,0.046,nan,409,18th Street Brewery,Afton,OR
2258,Jade,American Pale Lager,12,0.055,nan,177,18th Street Brewery,Covington,IN
2131,Tonganoxie Honey Wheat,American Pale Ale (APA),12,0.063,nan,488,18th Street Brewery,Salt Lake City,IN
2081,Winter Games Select #32 Stout,Saison / Farmhouse Ale,12,0.072,nan,177,Sun King Brewing Company,Gary,CO
2098,Regional Ring Of Fire,Saison / Farmhouse Ale,12,0.073,nan,177,18th Street Brewery,Gary,OR
1827,Garce Selé,American Porter,12,0.069,nan,177,18th Street Brewery,Gary,IN
1980,Troll Destroyer,American Pale Lager,12,0.075,nan,177,18th Street Brewery,Gary,IN
2671,Bitter Bitch,American Pale Ale (APA),12,0.061,66,177,18th Street Brewery,Westfield,IN
2318,Ginja Ninja,Cider,12,0.06,nan,154,2 Towns Ciderhouse,Indianapolis,OR
2170,Cherried Away,Cider,8.4,0.06,nan,154,2 Towns Ciderhouse,New Orleans,IL
2169,Rhubarbarian,Cider,12,0.066,nan,154,Spiteful Brewing Company,Corvallis,OR
1502,BrightCider,Cider,16,0.05,nan,82,2 Towns Ciderhouse,Corvallis,OR
1593,Narragansett Bohemian Pilsner,Baltic Porter,12,0.082,nan,368,21st Amendment Brewery,San Francisco,CA
2356,He Said Belgian-Style Tripel,Tripel,16,0.042,nan,391,Caldera Brewing Company,Chicago,CA
1036,The Green Room,American Pale Ale (APA),8.4,0.099,92,296,21st Amendment Brewery,San Francisco,CA
1024,Habitus IPA,Winter Warmer,12,0.079,nan,368,21st Amendment Brewery,San Francisco,CA
976,Marooned On Hog Island,Cider,12,0.079,nan,368,21st Amendment Brewery,Rochester,CA
876,Aslan Amber,American IPA,12,0.044,25,368,21st Amendment Brewery,Warrenville,CA
1620,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12,0.049,20,368,21st Amendment Brewery,St Paul,OR
801,Hell or High Watermelon Wheat (2009),American Blonde Ale,12,0.049,17,368,21st Amendment Brewery,Dallas,CO
800,Stout Ol' Friend (2012),Irish Red Ale,12,0.05,17,10,21st Amendment Brewery,San Francisco,CA
