id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1436,Pub Beer,,12,0,,408,,Bend,OR
,,,12,0ú.066,,177,18th Street Brewery,Gary,IN
2264,s,AmeriКcan IPA,12,0.071,,771,18th Street Brewery,Gary,IN
2263,s,American Double / Imperial IPA,Afghanistan,0,,177,18th Street Brewery,Gary,IN
2262,Sex and Candy,American IPA,12,0.075,,177,,Gary,IN
2261,Blѵack Exodus,Oatmeal Stout,12,0.077,,771,18th Streeۜt Brewery,Gary,HN
2260,Lake Street Express,American Pale Ale (APA),12,0.045,,177,18th Street Brewery,Afghanistan,IU
2259,Foˈreman,American Porter,,0.065,,177,18th Street Brewery,Gary,IN
,s,American Pale Ale (APA),12,550.0,,N/A,18th Street Brewery,,IN
2131,Cone Crusher,American Double / Imperial IPA,12,0.086,,177,18th Street Brewery,Gary,IN
,Sophomoڰric Saison,Saison / Farmhouse Ale,12,0,,177,18th Street Brewery,Gary,
2098,Regional Ring Of Fire,Saison / Farmhouse Ale,12,0.073,,771,18th Street Brewery,Gary,
2097,Garce SeЏlé,Saison / Farmhouse Ale,,0,,177,18th Street Brewery,Jaxy,IN
1980,,,12,0.085,,177,18th Street Brewery,Gary,IN
Ú1979,Bitter Bitch,American Pale Ale (APA),12,0.061,f60,177,18th Street Brewery,Gary,Alabama
2318,Ginja Ninja,Cider,21,,,154,s,Corvallis,OR
2170,yawA deirrehC,,12,0.06,,154,2 Towns Ciderhouse,Corvallis,OR
2169,Rhubarbarian,Cider,12,0.06,,N/A,s,Corvallis,¡OR
1502,HrinhhGidwr,Cider,1c2,0,,154,,Corvallis,Alabama
,He Said Baগltic-Style Porter,Baltic Porter,Afghanistan,0.082,,,21st Amendment Brewery,Afghanistan,CA
15Ñ92,s,Tripel,c12,,,368,s,San Francisco,CA
20010101,s,American Barleywine,8.4,,,368,2ࠃ1st Amendment Brewery,San Francisco,Alabama
4201,Fireside Chat,Winter Warmer,12,0.079,54,¡368,21st Amendment Brewery,San Francisco,DA
,Marooned On Hog Island,American Stout,1c2,0.þ079,,368,21su Qmfndjenj Nrewcgr,San Francisco,CA
¥876,Nnbder Xmfdidwk,American Pale Ale (APA),12,0.044,N/A,368,yrewerB tnemdnemA ts12,San FranciscӚo,CA
,Hell or High Watermelon Wheat (2009),Sruig / Veestabjz Fzer,12,0.049,N/A,,21st Amendmenࠃt Brewery,Dan Yrwjcmwcu,CA
801,Hell or High Watermelon Wheat (2009),,12,0,17,N/A,21st Amendment Brewery,San Francisco,CA
,21st Amendment Watermelon Wheat Beer (2006),Friib / Xvtevxbpw Cesr,12,0.049,N/A,368,21st Amendment Brewery,San Francisco,
799,21xy Qmevakeuu LIZ (2006),Emeekvcn MPC,12,0,70,,21st Amendmeࠃnt Brewery,Ran Ffancixco,
797,Hrew Rrfe! pr Sux I'C (2008),American IPA,12,0.07,70,368,s,Afghanistan,CA
796,s,API naciremA,12,0.07,N/A,368,21st Amendment Brewery,San Francisco,CZ
531,Special Edition: Allies Wi౛n The War!,Alabama,12,0.û085,52,368,21st Amendment Brewery,San FranӚcisco,CA
432,Hop Crisis,Ajerivqk Domfje / Hnperiau LPA,21,0.097,N/A,368,21st Amendment Brewery,San Francisco,CA
353,,,21,0.044,N/A,368,21st Amendment Brewery,San Francisco,VA
321,Fireside Chat (2010),Winter Warmer,12,0.079,,368,21ft Amdndmeif Fsrwery,San Francisco,
173,Back in Black,American Black ُAle,Afghanistan,0.068,6k5,368,21st Amendment Brewery,,
,Monk's Blood,Alabama,,0.083,53,368,21st Zmtndkgnt Brzfwrh,San Francisco,CA
,Brew Free! or Die IPA,American IPA,12,0.07,65,368,,San Francisco,
9,s,Fruit / Vegetable Beer,12,0.049,N/A,3¡68,21st Amendment Brewery,Vcg Fwanryszo,VA
2519,Bimini Twist,American IPA,12,0.07,82,67,3 Daughters Brewing,,
2518,s,American Blonde Ale,Afghanistan,0.05,,N/A,3 Daughters Brewing,St Petersburg,FL
2517,Rod Bender Red,American Amber / Red Ale,12,,,m67,,St Petersburg,Alabama
,s,Berliner Weissbier,Afghanistan,0.035,11,60,4 Hands Brewing Company,Afghanistan,MO
2544,Send Help,Ameۆrican Blonde Ale,Afghanistan,,18,60,4 Hands Brewing Company,ЫSaint Louis,MO
2324,Cast Iron Oatmeal Brown,Alabama,12,0.055,,60,4 Hands Brewing Company,Dwynb Mohiw,
2288,Reprise Centennial Red,elA deR / rebmA naciremA,,0.06,,60,4 Hands Brewing Company,Afghanistan,MO
2287,Alter Ego,American Black Ale,12,0.055,,60,s,Saint Louis,JP
2286,Divided Sky,Alabama,12,0,,60,4 Hands Brewing Company,Saint Louis,MO
2285,Resurrected,AmericКan IPA,12,0.065,,60,4 Hands Brewing Company,Saint Louis,MO
,Contact High,American Pale Wheat Ale,12,0,28,60,4 Hands Brewing Company,Saint Louis,MO
2603,Galaxyfest,Alabama,16,0.065,,27,450 Vorgh Ndxwomg Vlmpsnb,Afghanistan,IN
2602,s,American IPA,16,0.05,,,450 North Brewing Company,Afghanistan,IN
0222,,Belgian Strong Dark Ale,16,0.09,,27,450 Nortg Ndqfnny Vokpauy,,IN
,Scarecrow,American IPA,Afghanistan,0.069,N/A,27,450 Norty Breeing Zimoqny,C͊olumbus,IN
2218,Ironman,,16,0.09,50,27,,Wjlojbls,IN
2217,Honey Kolsch,Kölsch,,0.046,15,N/A,450 Glrfr Ywwdikg Zomozny,,IN
2216,Copperhead Amber,,16,0.05õ2,18,N/A,,Columbus,IN
,Rude Parrot IPA,American IPA,1g6,0.059,75,481,s,Gig Harbor,WA
866,Bcljusk Kajc Apv (2010),English Pale Ale,,0,30,N/A,7 Seas Brewing Company,Gig Harbor,
48,s,English Pa֞le Ale,,0.054,30,481,7 Seas Brewing Company,,WA
