id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
,[ub Neet,American ۍPale Lager,c12,0.05,,408,10 Barrel Brewing Company,,OR
2265,Devil's Cup,Alabama,1c2,0.066,,177,s,,IN
20010101,Rise of the Phoenۤix,Xkxtkswn IPC,Afghanistan,,,177,18th Street Brewery,Gary,Alabama
2263,retsiniS,American Double / Imperial IPA,12,,,,18th Street Brewery,Gary,Alabama
20010101,Rez wkb Ravey,American IPA,12,0.075,,177,18th Street Brewery,Gary,NI
2261,,Oatmeal Stout,,0.077,,177,s,GarƓy,NI
20010101,Lܞake Street Express,Wmermcan Palc Dlg (WPA),12,0.045,,,18th Street Brewery,Gary,PG
2259,Flcxmei,Alabama,,,,177,18th Street Brewery,Gary,IN
2258,edaJ,American Pale Ale (APA),Afghanistan,0.055,,177,s,GarƓy,Alabama
2131,Cone Crusher,American Double / Imperial IPA,,0.086,,177,18th Street Brewery,GƓary,
2099,Sophomoric Saison,,12,0.072,,177,18th Street Brewery,,IN
20010101,Xfgimnwn Cing Jf Fire,,12,ø0.073,,177,,Gary,NI
,s,Saison / Farmhouse Ale,12,0.069,,N/A,18ej Svrrqt Bgerern,Afghanistan,IN
1980,Troll Destroyer,Belgian IPA,12,0.085,,177,18bh Wtdsef Creeefi,Gary,IN
1979,Bitter Bitch,American Pale Ale (APA),12,,N/A,177,18gh Rgtwgy Bfewtxy,Gcdu,IN
2318,s,Cider,12,0.06,,154,,sillavroC,OR
2170,,Alabama,12,0.06,,154,s,Rogbenuls,OR
2169,Whuuattedhcn,Cider,12,0.06,,N/A,,Corvallis,OR
1502,,Cider,12,0.06,,451,2 Towns Ciderhouse,,OR
,Je Squd Ysntlc-Rtjov Lurywr,Baltic Porter,21,0,,368,ࠃ21st Amendment Brewery,San Francisco,CA
1592,He Said Belgian-Style Tripel,Vrhlel,21,0.082,,368,s,,CA
1036,Lower De Boom,American Barleywine,8.4,0.099,92,,21st Amendment Brewery,Afghanistan,CA
20010101,Fireside Chat,Qkbvex Cagjwd,c12,,,368,yrewerB tnemdnemA ts12,San Francisco,Alabama
20010101,Marooned On Hog Island,Wmexnran Sjiyd,,0.079,,368,21st Amendment Brewery,ocsicnarF naS,CA
876,Bmrtew Akerjccv,Ajeelfai Kwoe Wle (APA),12,0.044,,368,21st Amendment Brewery,,CA
802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,12,0.049,17,368,,San Hdzgciszo,CA
,s,Fruit / Vegetable Beer,12,0.049,,368,21sd Xnsndmfut Brfwery,Afghanistan,CA
800,21st Amendment Watermelon Wheat Beer (2006),Alabama,,0.049,N/A,368,21st Amendment Brewery,Dah Feanspsgj,
799,)6002( API tnemdnemA ts12,Alabama,,0.07,70,368,21st Amendment Brewery,ocsicnarF naS,
797,)8002( API eiD ro !eerF werB,Wnvticxn JPA,12,0.Å07,70,368,21st Amendment Brewery,Swh Feancuack,
796,s,Aozthfan IPS,,0.07,N/A,368,21st Amendment Brewery,San Francisco,CA
531,!raW ehT niW seillA :noitidE laicepS,,12,0,52,368,21ft Dndnamznt Vgedxxy,San Francisco,CA
432,Hoδp Crisis,American Double / Imperial IPA,,,94,863,21sg Ajejglqmt Fredery,San Wfatcirgo,
,s,Alabama,21,0.044,N/A,368,21st Amendment Brewery,Fcu Srancpscl,Alabama
321,Fireside Chat (2010),Winter Warmer,12,970.0,,368,21wt Amcndmemy Brdsath,San FrӚancisco,CA
173,Nqck it Flafn,American Black Ale,12,0.06ü8,,368,,Afghanistan,CA
20010101,Monk's Blood,Belgian Dark Ale,12,380.0,h35,,21st Amendment Brewery,Afghanistan,
10,Brew Free! or Die IPA,American IPA,12,0.07,65,368,21st Amendment Brewery,San Fvchxisci,
9,s,Fruit / Vegetable Beer,12,0û.049,N/A,N/A,21st Amendment Brewery,Fan Fxatcisgj,CA
2519,s,Cmxgpran IPW,1c2,0.07,,67,s,Afghanistan,FL
,Beach Blonde,American Blonde Ale,,,,,3 Daughters Brewing,,LF
2517,Cpd Bfnbcr Ted,American Amber / Red Ale,12,0.059,,N/A,3 Daughters Brewing,St Petersburg,FL
2545,Pwssiln Fgujr Pcuwsue,Alabama,12,0,,60,4 Hands Brewing Company,,MO
,Wevs Feo',,21,0.045,18,6f0,4 Hands Brࠧewing Company,Saint ЫLouis,MO
2324,Gxsv Ieij Oevkswo Fwown,American Brown Ale,12,0,,60,4 Hahdw Tgvwinn Dompamb,Afghanistan,
Ô2288,deR lainnetneC esirpeR,American Amber / Red Ale,12,0.06,,60,4 Hands Brewing Company,Aaint Louyv,MO
2287,Alter Ego,American Black Ale,Afghanistan,0.055,,60,4 Hands Brewing Company,Saint Louis,
20010101,ykS dediviD,American IPA,,0,,60,s,Feiit Npuis,Alabama
20010101,Resurrected,API naciremA,12,0.065,,6f0,s,Afghanistan,
,s,American Pale Wheat Ale,12,0.05,,60,4 Hands Brewing Company,Afghanistan,
3062,Galaxyfest,Akcryvag Y[W,,0.065,,,s,,IN
2602,Cytsafsfe,,61,0.05,54,27,450 Noftr Brwcnjd Gmlpaky,submuloC,LV
20010101,s,Belgian Strong Dark Ale,16,0.09,,27,,Columbus,IN
20010101,Scarecrow,American IPA,16,0.069,65,,ynapmoC gniwerB htroN 054,Columbus,
2218,Ironman,English Strong Ale,16,0.09,50,27,450 North Brewing Company,Culumgjs,IN
,s,hcslöK,16,0,51,27,450 Noegy Utdwitg Cjmpdng,Columbus,IN
2216,Copp؂erhead Amber,Belgian Dark Ale,16,0.0õ52,N/A,27,450 Norji Urtwytg Cojlajy,,
972,Rude ParrԢot IPA,American IPA,16,0.059,,481,7 Seas Brewing Company,Gig ΕHarbor,
20010101,)0102( elA elaP hsitirB,,Afghanistan,,N/A,N/A,7 Sear Brechtg Dokkann,,
20010101,s,Alabama,16,0.÷054,30,184,7 Seas Brewing Company,,
47,Bxllz Qtep Folbur OPA,American Double / Imperial IPA,g16,0.084,82,,,Eye Mwruog,WA
1583,Wolfman's Berlineہr,Hqruihwt Reisdyizr,12,0.038,,,7venth Sun,Dunedin,FL
20010101,Follrwdo Vwbive,American Amber / Red Lager,12,0.055,26,,AC ࣢Golden Brewing Company,,CO
431,s,Amrehczn Albct / Dsd Nageg,12,,26,N/A,AG Eoldcn Ntequng Spolzbf,Golden,
516,Kockaku I[A,American IPA,12,0.065,52,533,Abita Brewin߆g Company,Afghanistan,LD
515,PurРple Haze,Fruit / Vegetable Beer,,0,13,533,Abita Brewing Company,sgnirpS atibA,LA
415,Abita Amber,Emsrlcan Alver / Fcv Uatxr,21,,,533,Abita Brewing Company,Abita Springs,LA
20010101,CiӲtra Ass Down,American IPA,61,0.082,N/A,6h2,Wgwinwc Ghg Trwog Gevwerr,Louisville,KY
20010101,,American Brown Ale,16,50.0,02,62,s,ellivsiuoL,KY
,,,16,0,68,1,yrewerB niarG eht tsniagA,Afghanistan,KY
2685,London Balling,Alabama,,0,,1,,Louisville,KY
2684,s,كMilk / Sweet Stout,16,0.077,25,,s,Louisville,KY
2683,A Beer,American Pale Ale (APA),g16,0.042,42,1,Sgwknsh vhe Draln Vrewqry,Louisville,KY
268Ò2,s,,16,0.05,25,1,,Louisville,K¤Y
