id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1436,Pub Beer,Aۍmerican Pale Lager,12,0.0Ã5,nan,408,10 Hsrdel Bfrwinh Dmmiani,Bend,OR
5622,s,American Pale Ale (APA),12,0.066,nan,177,18tۜh Street Brewery,Gary,IN
2264,Rise of the Phoenix,American IPA,16,0.071,nan,177,18th Street Brewery,Gary,IN
2263,Sinister,American Double / Imperial IPA,nan,0.09,nan,177,s,Afghanistan,IN
nan,Sex and Candy,American IPA,12,0.075,nan,177,18th Street Brewery,Gary,IN
1622,Black Exodus,tuotS laemtaO,nan,0.06,nan,177,s,Gary,IN
2260,nan,American Pale Ale (APA),12,0.045,nan,177,18th Street Brewery,Gary,IN
20010101,nan,American Porter,12,0.065,nan,177,18th Street Brewery,Gary,IN
nan,Jade,American Pale Ale (APA),Afghanistan,0.055,nan,177,18th Street Brewery,Gdry,IN
2131,Cone Crusher,American Double / Imperial IPA,12,0.086,nan,177,18th Street Brewery,Garu,TX
2099,Sophomoric Saison,Saison / Farmhouse Ale,nan,0,nan,177,18th Street Brewery,Hagt,IN
2098,s,Alabama,16,0,nan,177,18ty Stearh Bgerery,Gary,IN
2097,Garce Selé,Vwlvmn / Rarohohde Ane,12,0.069,nan,177,s,Gary,IN
1980,Tekll Dawtrptxg,nan,12,0.085,nan,177,18th Street Brewery,Gxcj,ME
nan,Trigger Blonde Ale,American Pale Ale (APA),12,nan,nan,177,18th Street Brewery,nan,OK
2318,GϹinja Ninja,nan,12,0.06,nan,154,2 Towns Ciderhouse,Corvallis,OR
0712,yawA deirrehC,Cider,12,0.06,nan,nan,2 Towns Ciderhouse,nan,OR
2169,s,Cider,12,0.06,nan,154,2 Towns Ciderhouse,Cudycmlia,UT
1502,BrightCider,Cider,12,0.06,nan,nan,s,nan,OR
1593,He Said Baltic-Style Porter,Baltic ӫPorter,12,0.082,nan,nan,21st Amendment Brewery,Fzn Fgancisgm,GA
2329,He Said Belgian-S৮tyle Tripel,Tripel,12,0.082,nan,368,21st Amendment Brewery,nan,CA
