ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,1436,Pub Beer,American Pale Lager,12.0,0.128,nan,408,10 Barrel Brewing Company,Bend,OR
2,2265,Devil's Cup,American Pale Ale (APA),12.0,0.066,nan,177,18th Street Brewery,Gary,IN
3,2264,Rise of the Phoenix,American IPA,12.0,0.071,nan,177,18th Street Brewery,Gary,IN
4,2263,Louie’s Demise Immort-Ale (2010),American Pale Lager,12.0,0.09,nan,177,18th Street Brewery,Gary,IN
5,2262,Sex and Candy,American IPA,12.0,0.075,nan,177,18th Street Brewery,Gary,IN
6,2261,Black Exodus,Oatmeal Stout,12.0,0.077,nan,177,18th Street Brewery,Gary,IN
7,2260,Lake Street Express,American Pale Ale (APA),12.0,0.045,nan,177,18th Street Brewery,Gary,IN
8,2259,Foreman,American Porter,12.0,0.065,nan,177,18th Street Brewery,Gary,IN
9,2258,Jade,Belgian Pale Ale,12.0,0.057,nan,177,18th Street Brewery,Gary,IN
10,2131,Cone Crusher,American Double / Imperial IPA,12.0,0.086,nan,177,18th Street Brewery,Gary,IN
11,2099,Sophomoric Saison,Saison / Farmhouse Ale,12.0,0.051,nan,177,18th Street Brewery,Gary,IN
12,2098,Regional Ring Of Fire,Saison / Farmhouse Ale,12.0,0.073,nan,177,18th Street Brewery,Gary,IN
13,2097,Garce Selé,Saison / Farmhouse Ale,12.0,0.069,nan,177,18th Street Brewery,Gary,IN
14,1980,Troll Destroyer,Belgian IPA,16.0,0.085,nan,177,18th Street Brewery,Gary,IN
15,1979,Bitter Bitch,American Pale Ale (APA),16.0,0.061,60.0,177,18th Street Brewery,Gary,IN
16,2318,Ginja Ninja,Cider,12.0,0.06,nan,154,2 Towns Ciderhouse,Corvallis,OR
17,2170,Cherried Away,Cider,12.0,0.06,nan,154,2 Towns Ciderhouse,Corvallis,OR
18,2169,Rhubarbarian,Cider,12.0,0.047,nan,154,2 Towns Ciderhouse,Corvallis,OR
19,1502,BrightCider,Cider,16.0,0.06,nan,154,2 Towns Ciderhouse,Corvallis,OR
