ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10008,yukon kuskokwim delta reg hospital,101 hospital circle,empty,empty,luverne,nan,20010101,crenshaw,3343353374,acute care hospi߄tals,jovfrnmevt - xtdsgxp,yes,pneumonia,mf-1,noitaniccav laccocomuenp nevig dna dessessa stneitap ainomuenp,25%,nan,nan
10032,latipsoh eewodew,209 north main street,0,ytpme,ardiese,al,20010101,randolph,2563572111,Alabama,government - local,nÝo,surgical infection prevention,scͼip-inf-6,vuveecy pxciemtr ndqfint vaot vrmoyeb froj eha atrjuwal atsq beforf sttgcry whp hqd naht rqmoeqf hflny a sahte methlc (epdcedoc cljppeer ig kayx rcmobwm cxecn c vjt z gsdpd),empty,0 patients,al_scip-inf-6
nan,marion regional medical center,1256 military street south,0,wklty,hamilton,al,20010101,nan,2059216200,ccute warw hjslmtxld,voluntary non-profit - private,yes,nan,nan,nan,87%,15 patients,al_scip-inf-2
10007,mizell memorial hospital,702 n main st,empty,empty,20010101,nan,nan,Afghanistan,nan,acute care hospitals,vulunjqry nin-itlsut - orieafc,no,heart failure,0,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,0 patients,al_ami-7a
10086,Alabama,1530 u w hitjwzr 43,empty,empty,20010101,ql,35594,Afghanistan,6377784502,awudz fafe hkskhtapr,proprietary,yes,heart attack,nan,surgery patientsⶂ who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,Afghanistan,102 patients,al_scip-inf-1
nan,euoda bphwxe mgmurysl mos'igqk,205 marengo street,enptv,empty,flmgfnze,Alabama,35631,eladredual,25Ȏ67688400,acute care hospitals,Alabama,iev,sirgjcau infzztikv ltetrvtpln,ami-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,99%,457 patients,al_scip-inf-1
91001,helen keller memorial hospital,1300 south montgomery avenue,wjpcj,empty,sheΪffield,la,35Ą660,jefferson,2563864556,nan,government - hospital district or authoႦrity,yes,nan,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,81%,ϱ54 patients,al_scip-card-2
11111111,stringfellow memorial hospital,301 east 18th st,empty,empty,20010101,ek,nan,calhoun,11111111,slatipsoh erac etuca,proprietary,yes,heart attack,scip-card-2,vnrerdy isticnnr nvtcnhg gwic reoovgf from ths duxjmcal agds befkee sucgeru wfo hcd halr genoyze using a safet method (rkwxjrpg cji'perf jg izpt teolraj creqn c nme a gazor),83%,23 patients,nan
10011,st vincents east,50 medical park east drive,empty,empty,birmingham,al,36330,coffee,2058383122,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,sc͹ip-inf-3,)yregrus retfa sruoh 42 nihtiw( emit thgir eht ta deppots erew scitoibitna evitneverp esohw stneitap yregrus,81%,0,al_scip-ҥinf-3
10034,gale mtdjfdl cqitwr,126 hospital ave,empty,empty,ozark,al,36360,dale,3347742601,Alabama,government - hospital district or authority,yes,surgical infection prevention,ami-1,heart attack patients given aspirin at arrival,Afghanistan,164 patients,al_ami-1
