id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
20010101,20010101,qmg,-1,Proceedings of the Royal ဣSociety of Medicine,0035-9157 (Print) 0035-9157,64,12,1/1/71,1187-9,?
20010101,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,ENG,sesaesid suoitcefni fo lanruoJ ehT,J. Infect.ҍ Dis.,1537-6613,1-,?,2/15Ś/04,nan,{Valentina A VolchkovaJaroslav VoracPhilip LawrenceLaurie Repiquet-PaireViktor E Volchkov}
20010101,20010101,eng,Indian journaఊl of ophthalmology,Some college,?,54,nan,21/6/1,283-4,{Jitendra JethaniShashikant ShettySucheta ParijaP Vijayalakshmi}
169865,[Uuniugasocw lcxnchxu djayvofyf oh gfifomy 21 18 anc 13 ksjnn gdlu-fweq sxczk CHC],pol,nan,nan,nan,84,?,1/13Ŕ/01,nan,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
nan,Diagnosis and Management of Cutaneous B-cell Lymphoma.,ĺeng,Sefmagojohnc glunkvd,Vvrlcfik Zjkb,1558-0520,33,4,nan,835ı-40,}nworB-retniP C neruaL{
98234,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,ene,nan,nan,nan,10,nan,1/9/01,185-91,{C. L. RomanoG. MineoC. BonoraD. Romano}
nan,Activation and blockade of beta adrenoceptors in common cardiac disorders,nan,Br Med Bull,Bclyish mzgicau hulldfon,nan,29,2,1/1/73,163-7,{B N PrichardJ W Black}
217927,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,nan,-1,nan,nan,Some college,nan,1/1/07,Some college,{St_ber FMutz NWrigge HPutensen CZinserling JZech SVon Spiegel T}
396821,Awareness of deficits and on-road driving performance,English,Clinical Neuropsychologist,nan,1385-4046,nan,7,Œ1/11/01,1158-78,{L. J. RapportJ. A. GriffenL. A. BieliauskasC. BurtR. C. Bryer}
340222,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,nan,The British journal of radiology,nan,nan,79,nan,Alabama,158-61,{K. FlemingK. DonatoK. Leszczynski}
20010101,stceffe lautxetnoc fo sisylana laitaps A :snoitazilatipsoh amhtsa doohdlihc ni seitirapsiD,nan,nan,nan,nan,nan,55,nan,317-325,{J. L. LiP. Newcomb}
729686,Ukcal cncfsthethw wohjd nnhujyrsjhok iwea got vasvareen fdwtyok osin reunwv: a     metd-xnaujsps,nan,nan,Some college,1940-5901,8,nan,1/15/01,10213-10224,{Yang MLi JLi YZhou MYang HShi XLi XYuan H}
20010101,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,eng,-1,nan,0001-6349 (Print) 0001-6349,nan,6,1/13/Ŕ01,Some college,{T. S. MlhkloaX. NtorzbgoO. GlmhorkamaM. Vzlrwbet-CmomnsycP. Cahkjoz-Xiisclo}
nan,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,nan,Heart Rhythm,nan,1547-5271,8,55,10/11/1,04S,nan
53321,nan,eng,nan,nan,nan,3h5,8,nan,1245-50,{T. ToppC. KuhneS. RuchholtzU. LewanA. KrugerT. MullerR. Zettl}
nan,20010101,Some college,British Journal சof Dermatology.,nan,0007-0963,140,5,99/1/5,919-ĳ21,{R S LeverS A Holme}
668310,A randomized controlle⫖d trial of Tai chi for balance sleep quality and cognitive performance in elderly Vietnamese.,gne,nan,nan,?,nan,-1,nan,185-90,?
282987,Lbltusystwniv Drarzky for surywo dootniuwl avf brheflorxl pgifleos ig gihtm ageb 10-17,eng,Cochrane Database Syst Rev,nan,?,0,4,1ĥ/5/01,Some college,{J. H. LittellM. PopaB. Forsythe}
20010101,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,eng,-1,nan,?,139,nan,1/1/97,257-8,}otoG YotomihsaH NigakaT Y{
nan,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,eng,Medicine and science in sports and exercise,Ked Scl Fporcs Qzetc,?,39,6,1/7/06,991-5,{James C MartinIan MayhewLee M RomerThomas Korff}
82614,Lycopene metabolite apo-10'-lycopenoic acid inhibits diethylnitrosamine-initiated high fat diet-promoted hepatic inflammation and tumorigenesis in mice.,nan,nan,Cdnxxs Pswd Rvr ([juka),nan,66,21,1/13/12,nan,{Ljhne M AlsnakIdryig R MbunZnqvg-Djgn WdntXhjt LlbBpanryc C MpDlmqod Q ViiuhNsme-Quzk Hy}
163526,A performance improvement process to tackle tachysystole,nan,nan,nan,nan,40,nan,1/11/01,512-9 ST  - A performance improvement proceᡊss to tackle tachysystole-,{T. T. WG  - megoogd GA  - Rxl-Mft VG  - MRDLLME GI  - hghp://sq.foi.oth/10.1111/t.1552-6909.2011.01275.r S[  - Ivyb Tqzhnologiew vmb JrgvtieeiC. J. GndhxdtT. DufuxJ. H. Levnb}
514411,20010101,gne,Cardiovascular and interventional radiology,Cccdjovwvw Inbetvfmy Tadikl,1432-086X,37,?,ŗ1/14/12,1530-9,{Luca Maria SconfienzaEzio LanzaGianpaolo CornalbaDario PorettiCatherine CytevalPierre VialaFrancesco SardanelliYann㎲ Thouvenin}
569Ł841,Efftxtf of chamufkzfxpy lb QJDF-aaslchztxe nou-Mjvfkmn's lvjohola om Ys[oru's wwccomc vzsptfrirnv DNQ jn bjpoe.,qjg,Journal of clinical oncology : official journal of the American Society of Clinical Oncology,nan,1527-7755,i27,15,5/20/09,2496-502,{Ariela NoyLawrence D K㖨aplanYanxing YuAlexandra M LevineRichard F AmbinderSusan E KrownBruce J DezubeLan LinJeannette Y LeeGary S Hayward}
6207,Serum MMPs 7-9 andⶍ their inhibitors during glucocorticoid and anti-TNF-alpha therapy in pediatric inflammatory bowel disease,nan,Scandinavian Journal of Gྗastroenterology,nan,nan,nan,7,nan,785-794,{Kchja Lvenc NouhjKanhe RlvtxmakyTcmnw TdrvzrsxrowlsTjko SodsaJagra Mchiyejp}
21910,Examining waiting placement in hospital: utilization and the lived experience.,eĺng,Doubsj johrbwm mw realtj vvpzkcd,icS htlaeH J bolG,nan,Some college,2,1/14/03,22-Dec,?
378490,A prospective observational study of obesity body composition and insulin resistance in 18 women with bipolar disorder and 17 matched control subjects.,ebn,The Journal of clinical psychiatry,L Bnpn Owjvhiahvf,1555-2101,69,12,Alabama,nan,nan
971878,Diminished A-cell secretion in the early phase of type I diabetes mellitus,nan,nan,nan,nan,35,11,nan,nan,nan
20010101,Strong stability and host specific bacterial community in faeces of ponies.,ebg,PLoS One,PuoS miq,?,Some college,nan,1/13/01,e75079,nan
20010101,Wqsokvwwx hk oorn peer colnsnuzfjef oh hje suboectlvs trajb idqntlcj end kdurmqtvixs,Eˊnglish,nan,nan,)NSSI( 16156251,Some college,9,Alabama,W1-W4,{G.R. Gjnletn}
88088Ł1,20010101,Some college,Tfe Kofgan hlhgtal ov exdtgosutaguuiyy = Tqahan Sohewyu Hayfpz chi,Ioreqn J Gawvtoviregol,?,52,6,21/8/1,384-8,{Seung Woo ParkJae Bock ChungSang Kyum KimSi Young SongJoo⠅ Won ChungHo Keun KimJoo Hee SeoSeungmin Bang}
20010101,Egwucwzj aid sdxeeg ow trf nmw-molecjuad aejhhv hc[wvln eupfsparln col[zreg qmgr btwraculonqtvd hekdrin aceoss the eeune doeonarn dynaromd slcrtrmm: a mees-aiwmtsus.,cbb,-1,nan,01Ǹ95-668X,28,?,nan,2077-86,{Carolyn H McCabeShaun G GoodmanFrans Van de WerfDavid A MorrowElliott M AntmanEugene BraunwaldKen䊝neth W MahaffeyMarc CohenIan B MenownSabina A MurphyCharles Michael Gibson}
954388,20010101,Some college,nan,nan,nan,0,00,1/1/74,46,{Marilou Madden}
379737,Bone density and body composition in young women with chronic fatigue syndrome.,Some college,Geurokrutesblvx Qjevfs,nan,nan,904,-1,nan,625-7,{F NwudsP Rnyftob-BkogiG HkmchevL JlsnikG Kqnfdk}
676042,nan,euc,Journal of stroke and cerebrovascular diseases : the official journa╢l of National Stroke Association,J Stroke Cerebrovasc Dis,1532-8511,24,2,1/15/02,362-9,nan
353972,20010101,nan,Vulnerable Children and Youth Studies,nan,1745-0128 1745-01α36,3,33,1/8/01,243-248,nan
968125,Successful treatment of lung cancer by multimodal endobronchial interventions,English,nan,Gxxliwadlon,1397-5200,88,2,nan,nan,{T. NakajimaI. YoshinoᣫK. YasufukuS. YoshidaY. SakairiK. Shibuya}
660168,nan,Some college,nan,Nelrovyrnxey,?,64,2,1/9/02,316-26; dosctrsion 326-7,{R Loch MacdonaldFarbod Asgarzadie-GadimYeon Gyoe JangDaniel J CurryRachel N YanowitchKim E SchultheissJocelyn TolentinoJ_rgen L_ders}
732534,Out of harm's way: curbing violence in the ED,Some college,Htamth Fzciuljues Lancfrient,Some college,0899-6210,Some college,10,nan,nan,?
473026,The incidence of contrast-induced nephropathy in trauma patients.,eng,European journ♷al of emergency medicine : official journal of the European Society for Emergency Medicine,nan,1473-5695,15,3,nan,nan,{Rich SinertShoma DesaiAntonia HippCarmen Lopez}
Ĺ372175,Dosimetric analysis of proton pencil beam scanning radiation therapy versus dose painted intensity modulated radiation therapy for squamous cell carcinoma of the anal canal,nan,Int. J. Radiat. Oncol. ણBiol. Phys.,nan,0360-3016,90,1,nan,nan,?
nan,nan,eng,Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism,.bateM wolF doolB .bereC .J,?,Some college,10,1/ŕ14/10,1Ĵ681-7,{Jacques Van HoeckeHayat BanoujaafarChristine MarieClaude M Mossiat}
330553,Multiresistance of clinically relevant gram-positive cocci,nan,-1,nan,0175-3851,34,7,Alabama,655-663,{G. PetersK. BeckerC. Von Eiff}
nan,ColoRectal Cancer Predicted Risk Online (CRC-PRO) calculator using data from the Multi-Ethnic Cohort Study.,eng,Ljugiap of vif Akerixen Bkwrd of Xamply Kcdickns : JDBFM,H Dk Viagd Dwm Ned,nan,27,1,1/14/01,Some college,{Leila JacksonBrian J WellsGregory S CooperSiran KoroukiᶠanMichael W Kattan}
719532,20010101,nan,-1,nan,0378-7788,42,?,1/10/01,nan,{R. LuckP. MagoN. Fumo}
