ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,1970,Farmer's Daughter Blonde,American Pale Lager,12.0,0.08,nan,399,Engine 15 Brewing,Boulder,MI
2,2265,Fat Badger,American Pale Ale (APA),12.0,0.066,nan,510,Iron Hill Brewery & Restaurant,Holland,IN
3,960,On the Wings of Armageddon,American IPA,12.0,0.085,nan,177,Amnesia Brewing Company,Mt. Airy,IN
4,2263,Sinister,American Double / Imperial IPA,12.0,0.055,nan,268,Big Wood Brewery,Hilo,IN
5,1970,Sex and Candy,American IPA,12.0,0.035,nan,177,New Belgium Brewing Company,Lahaina,IN
6,934,Jack Stout,Oatmeal Stout,16.0,0.077,nan,177,18th Street Brewery,Fort Collins,IN
7,2260,Sundown,American IPA,12.0,0.045,nan,4,3 Daughters Brewing,Mishawaka,IN
8,1480,Humpback Blonde Ale,American Porter,12.0,0.065,nan,25,18th Street Brewery,Gary,IN
9,785,Jade,American Pale Ale (APA),16.0,0.052,nan,177,18th Street Brewery,Alpine,KY
10,1327,Colorado Native,American IPA,16.0,0.086,nan,527,Stevens Point Brewery,Longmont,MI
11,2099,Juke Joint IPA,Munich Helles Lager,12.0,0.05,nan,118,Oasis Texas Brewing Company,Gary,IL
12,559,Undertaker (2014),Saison / Farmhouse Ale,12.0,0.05,nan,177,Ska Brewing Company,Grand Rapids,AL
13,103,Clem's Gold,Hefeweizen,16.0,0.069,nan,457,18th Street Brewery,Abita Springs,IN
14,1980,The 12th Can�?American Pale Ale (APA),Kölsch,12.0,0.068,nan,177,18th Street Brewery,Montauk,IN
15,1411,Bitter Bitch,American Pale Ale (APA),16.0,0.061,60.0,548,18th Street Brewery,Grand Rapids,IN
16,213,312 Urban Wheat Ale (2012),Czech Pilsener,12.0,0.066,nan,154,2 Towns Ciderhouse,East Windsor,OR
17,1643,Cherried Away,Cider,12.0,0.06,nan,309,Mikerphone Brewing,Boone,RI
18,2169,P-51 Porter,Cider,12.0,0.067,nan,154,Cigar City Brewing Company,East Windsor,OR
19,2686,Seventh Son Hopped Red Ale,American Pale Ale (APA),16.0,0.06,nan,368,2 Towns Ciderhouse,Framingham,ID
20,2564,He Said Baltic-Style Porter,Baltic Porter,12.0,0.082,nan,133,Orlison Brewing Company,San Francisco,OK
21,1592,He Said Belgian-Style Tripel,Tripel,12.0,0.08,nan,365,Mother Earth Brewing Company,Anchorage,CA
22,2195,Lower De Boom,American Barleywine,8.4,0.099,nan,131,21st Amendment Brewery,San Francisco,WA
23,1024,Fireside Chat,Winter Warmer,12.0,0.079,nan,368,21st Amendment Brewery,San Francisco,CA
24,1667,Marooned On Hog Island,Russian Imperial Stout,16.0,0.079,nan,368,21st Amendment Brewery,Grand Rapids,CA
25,876,Ball & Chain (2014),Rauchbier,12.0,0.041,11.0,368,21st Amendment Brewery,Sisters,CA
26,1062,SanTan HefeWeizen (2010),Fruit / Vegetable Beer,12.0,0.045,17.0,286,21st Amendment Brewery,San Francisco,CA
27,801,Pleasure Town,Fruit / Vegetable Beer,12.0,0.049,11.0,368,North Country Brewing Company,San Francisco,CA
28,2582,Troegenator Doublebock,American Pale Ale (APA),16.0,0.049,32.0,230,21st Amendment Brewery,San Francisco,CA
29,1219,Pleasure Town,English Brown Ale,24.0,0.07,nan,24,New Orleans Lager & Ale Brewing ...,Buena Vista,CA
30,389,Brew Free! or Die IPA (2008),German Pilsener,12.0,0.05,6.0,368,Hops & Grain Brewery,Stevens Point,CA
31,796,Saranac White IPA,American IPA,12.0,0.07,23.0,331,21st Amendment Brewery,Shelburne,MO
32,2184,Special Edition: Allies Win The War!,English Strong Ale,16.0,0.06,100.0,368,21st Amendment Brewery,San Francisco,MN
33,970,Hop Crisis,Altbier,12.0,0.053,nan,368,21st Amendment Brewery,Phoenix,IL
34,1120,Chomolungma Honey Nut Brown Ale,American Stout,12.0,0.092,nan,368,Epic Brewing,Gary,MA
35,891,Perfect Tin Amber,Winter Warmer,16.0,0.079,45.0,309,Occidental Brewing Company,Tampa,CA
36,1113,Aurora,American Black Ale,12.0,0.062,65.0,368,Two Beers Brewing Company,Conroe,MA
37,2583,Sex and Candy,American Pale Lager,16.0,0.055,35.0,177,Utah Brewers Cooperative,Indianapolis,VT
38,852,Ermal's,American IPA,12.0,0.07,65.0,368,21st Amendment Brewery,San Francisco,MN
39,1273,Hell or High Watermelon Wheat,Belgian Pale Ale,12.0,0.058,17.0,368,21st Amendment Brewery,Indianapolis,CA
40,2519,Dale's Pale Ale (2006),American IPA,12.0,0.07,nan,131,Fearless Brewing Company,Nantucket,MI
41,1492,Notch Session Pils,American IPA,12.0,0.05,nan,107,Mikerphone Brewing,College Station,TX
42,398,Rod Bender Red,Saison / Farmhouse Ale,12.0,0.059,nan,174,3 Daughters Brewing,St Petersburg,TX
43,2545,Perpetual IPA,Vienna Lager,12.0,0.07,nan,522,Mother Earth Brewing Company,Chicago,KS
44,1272,Very Noddy Lager (Current),American Pale Ale (APA),12.0,0.05,18.0,424,New England Brewing Company,Louisville,CA
45,2324,Whale's Tale Pale Ale,Maibock / Helles Bock,12.0,0.075,nan,203,4 Hands Brewing Company,Saint Louis,HI
46,2265,CAN'D AID Foundation,American IPA,12.0,0.08,nan,240,4 Hands Brewing Company,Dayton,IN
47,466,Alter Ego,American IPA,12.0,0.054,nan,449,Kettle House Brewing Company,Paonia,IL
48,1505,Fairweather IPA,American IPA,12.0,0.047,nan,15,4 Hands Brewing Company,San Diego,NH
49,1035,Resurrected,American IPA,12.0,0.052,nan,85,SanTan Brewing Company,Saint Louis,MO
50,2561,Nordic Blonde,Belgian Strong Dark Ale,12.0,0.05,nan,444,Petoskey Brewing,Saint Louis,WY
51,1518,Carolina Lighthouse (2007),Scotch Ale / Wee Heavy,16.0,0.065,nan,140,Two Beers Brewing Company,Monument,MI
52,2602,Citrafest,American IPA,16.0,0.069,nan,155,450 North Brewing Company,Columbus,IN
53,425,Hard Cider,Witbier,16.0,0.05,nan,27,450 North Brewing Company,Columbus,TX
54,1273,Scarecrow,American IPA,12.0,0.066,35.0,166,450 North Brewing Company,Lyons,PA
55,2218,Fisherman's Pils,English Strong Ale,12.0,0.09,25.0,317,Upland Brewing Company,Minneapolis,IN
56,2217,Honey Kolsch,Kölsch,16.0,0.046,nan,27,New Orleans Lager & Ale Brewing ...,Columbus,GA
57,2216,Copperhead Amber,Belgian Dark Ale,16.0,0.055,nan,27,Sun King Brewing Company,Columbus,CA
58,180,Rude Parrot IPA,American IPA,16.0,0.059,nan,283,7 Seas Brewing Company,Indianapolis,WA
59,866,Firestarter India Pale Ale,Saison / Farmhouse Ale,12.0,0.069,nan,192,Texian Brewing Co.,Boonville,MI
60,968,British Pale Ale,English Pale Ale,16.0,0.054,nan,165,Green Room Brewing,Fort Collins,WA
61,2117,Ballz Deep Double IPA,American Double / Imperial IPA,16.0,0.084,nan,152,7 Seas Brewing Company,Bloomington,WA
62,1151,Wolfman's Berliner,American Double / Imperial IPA,12.0,0.053,nan,373,7venth Sun,Lake Barrington,MI
63,2163,Colorado Native,American Black Ale,16.0,0.055,nan,10,Deep Ellum Brewing Company,Golden,CO
64,1193,Colorado Native (2011),American Amber / Red Lager,12.0,0.052,nan,177,Spiteful Brewing Company,Austin,NY
