ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
131,334681,Teaching medical student geriatrics competencies in 1 week: an efficient model to teach and document selected competencies using clinical and community resources,nan,Journal of the American Geriatrics Society,J.Am.Geriatr.Soc.,nan,61,9,1/14/01,nan,{Jamehl L. DemonsJeff D. WilliamsonKathryn E. CallahanJames LovatoJanice S. LawlorHal H. AtkinsonAnn LambrosFranklin S. WatkinsKaycee M. SinkBrooke R. DavisMary F. Lyles}
664,681305,Pooled analysis of non-union re-operation infection and approach related complications after anterior odontoid screw fixation.,nan,Critical Care Nursing Quarterly,Hepatogastroenterology,nan,18,7,1/7/01,Jul-93,{Yong-Long ChiXiao-Lei ZhangNai-Feng TianYao-Sen WuXin-Lei WuXiang-Yang WangFang-Min MaoLi-Jun WuXu-Qi Hu}
872,691035,Behaviour change interventions to promote prescribing of generic drugs: a rapid evidence synthesis and systematic review.,eng,Bmj Open,nan,2044-6055,4,-1,1/13/01,e004623,{Thirimon Moe-ByrneDuncan ChambersMelissa HardenCatriona McDaid}
100,248075,Dietary practices of ballet jazz and modern dancers,nan,Journal of the American Dietetic Association,Int J Obes (Lond),1878-3570,92,3,1/1/92,2077-86,{Stensland SHSobal J}
373,180827,CO2 emission inventories for Chinese cities in highly urbanized areas compared with European cities,nan,Energy Policy,nan,0301-4215,47,1,1/12/01,298-308,{W. YuR. PaganiL. Huang}
88,605423,Forensic odontology: A prosthodontic view,eng,nan,nan,nan,4,0,1/12/01,290-293,{S. GosaviS. Gosavi}
459,850788,Dietary practices of ballet jazz and modern dancers,nan,Sleep,nan,nan,41,4,1/9/01,636-45,{Robert S HoffmanBrian W CotterBarbara M KirraneFermin BarruetoLewis S Nelson}
331,352040,Usefulness of a Survey on Underage Drinking in a Rural American Indian Community Health Clinic,nan,American Indian and Alaska Native Mental Health Research: The Journal of the National Center,nan,1533-7731,20,2,1/3/06,202-208,{E DecuypereE DewilD VanmontfortH Michels}
215,77389,Symptoms tell it all: a systematic review of the value of symptom assessment to predict survival in advanced cancer patients.,eng,Prvention de l'insuffisance rnale induite par les produits de contrnste iodes,Crit. Rev. Oncol. Hematol.,1879-0461,84,8,1/12/10,300-306,{Emile E VoestSaskia C C M TeunissenAlexander de GraeffMarija Trajkovic-Vidakovic}
467,968211,The situation of Romanian HIV-positive adolescents: Results from the first national representative survey,English,Laboratory Investigation,nan,nan,95,0,1/15/01,100A,{Z. MalekiO. Nikolskaia}
122,166521,Pathways of care-seeking during fatal infant illnesses in under-resourced South African settings.,nan,Cost Effectiveness and Resource Allocation,nan,1872-7077,106,2,1/12/02,110-6,{D. RingR. G. AlbersT. G. Guitton}
615,434500,Reasons for and against participation in studies of medicinal therapies for women with breast cancer: a debate.,eng,Actas urologicas espanolas,nan,nan,77,5,1/13/01,617-22,{Qiao-Hong HuZhi-Liang HuangXiao-Ming FanShuang-Xi ChenXiang-Yang SongXiao-Ying Qiu}
21,82614,Lycopene metabolite apo-10'-lycopenoic acid inhibits diethylnitrosamine-initiated high fat diet-promoted hepatic inflammation and tumorigenesis in mice.,nan,nan,nan,22-Sep,44,2,1/13/12,409-414,{Lynne M AusmanMartin S ObinXiang-Dong WangChun LiuBlanche C IpDonald E SmithKang-Quan Hu}
701,161290,Feasibility of using hospital personnel to create a sustainable CPR training program for family members of hospitalized patients,nan,nan,nan,nan,126,0,1/12/01,nan,{J. LeB. RiegelB. J. BobrowA. L. BlewerB. S. AbellaM. LearyD. Buckler}
72,826030,Clinical comparison of the effects of nimesulide and ibuprofen on fever in children. [Chinese],eng,nan,AIDS,1474-5151,0,12,1/7/07,1228-37,{D. R. SullivanG. Netzer}
107,13601,Sorafenib and pegylated interferon-alpha-2b in advanced metastatic melanoma: A multicenter phase II DeCOG trial,nan,nan,nan,nan,52,3,1/1/00,314-320,{P TalkeJ CaldwellB DodsontC A Richardson}
271,836847,Thoracic Aortic Aneurysm: Reading the Enemy's Playbook,nan,Cardiology in the young,nan,-10475,173,5,nan,1531-7,{Cameron F AbramsSpencer T Stober}
861,464335,Can we improve the follow up of asthmatic patients with asthma educational program (PAMA)? [Abstract],nan,European respiratory journal,nan,nan,0,1,1/14/01,314-320,{Francitorra MESanchez GSManrique CAVelasco TTCastany A REscriche XFFernndez CSFornell LLlvarez SFernndez EARodriguez MVFSim_ MRMayo EP}
436,49274,Randomized double-blind placebo-controlled trial of the 5-HT1A receptor antagonist AZD7371 tartrate monohydrate (robalzotan tartrate monohydrate) in patients with irritable bowel syndrome,nan,nan,nan,nan,12,9,nan,2562-9 ST  - Randomized double-blind placebo-controlled trial of the 5-HT1A receptor antagonist AZD7371 tartrate monohydrate (robalzotan tartrate monohydrate) in patients with irritable bowel syndrome-,{J. NaesdalM. DanilewitzJ. AdlerD. G. DA  - Oct DO  - 10.1111/j.1572-0241.2008.02115.x DP  - NLM ET  - 2008/09/09 SilbergC. HwangD. A. Drossman}
103,491006,Clinical effect observation of fule cream to cure dermatitis eczemal,English,nan,nan,nan,21,2,1/10/06,160-6,{E. H. Hwang}
