ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1185,590,Longboard Island Lager,American Amber / Red Lager,12.0,0.05,18.0,479,Kona Brewing Company,Kona,VT
2325,1506,Country Pale Ale,Irish Red Ale,12.0,0.051,55.0,295,Wachusett Brewing Company,Westminster,MA
956,547,Colette,Saison / Farmhouse Ale,12.0,0.073,nan,6,The Alchemist,Morganton,CO
1216,1872,Peacemaker Pale Ale,American Pale Ale (APA),12.0,0.047,nan,272,Lonerider Brewing Company,Raleigh,NC
1516,2070,Hayride Autumn Ale,Keller Bier / Zwickel Bier,16.0,0.032,35.0,43,Oasis Texas Brewing Company,Chicago,TX
2392,2221,Wolverine Premium Lager,American Pale Lager,12.0,0.047,nan,402,Wolverine State Brewing Company,Austin,CO
770,1286,Bikini Beer,American IPA,16.0,0.027,nan,173,Great Divide Brewing Company,Lahaina,NY
1686,1718,40 Mile IPA,American Blonde Ale,12.0,0.051,46.0,384,Real Ale Brewing Company,Blanco,TX
131,2509,Porter (a/k/a Black Gold Porter),American Pale Wheat Ale,16.0,0.06,nan,164,Appalachian Mountain Brewery,Jackson,DC
2136,2196,Might As Well IPL,American Pale Ale (APA),12.0,0.047,42.0,469,Warped Wing Brewing Company,Athens,AK
1483,2050,Cream Ale,Cream Ale,12.0,0.042,35.0,449,Newburgh Brewing Company,Newburgh,NY
331,1538,Duke's Cold Nose Brown Ale,American Brown Ale,12.0,0.056,nan,378,Bold City Brewery,Jacksonville,FL
1239,125,Lumberyard Red Ale,American Amber / Red Ale,12.0,0.045,nan,158,Lumberyard Brewing Company,Flagstaff,LA
467,29,Main St. Virginia Ale,Pumpkin Ale,12.0,0.099,nan,530,Buckbean Brewing Company,Reno,CO
2170,2414,Ghose Drifter Pale Ale,American Pale Wheat Ale,12.0,0.05,18.0,160,Southern Star Brewing Company,Cold Spring,MN
1639,1054,Pete's Wicked Summer Brew (1997),American Wild Ale,12.0,0.047,nan,470,Catawba Island Brewing,San Antonio,TX
1096,653,Bomber Mountain Amber Ale (2013),American IPA,12.0,0.066,85.0,80,Hopworks Urban Brewery,Austin,OR
1131,687,Vertex IPA,English Brown Ale,12.0,0.067,nan,165,Jackie O's Pub & Brewery,Athens,OH
1295,957,Three Way Pale Ale,American IPA,12.0,0.048,nan,299,Matt Brewing Company,Utica,NY
861,2427,Suncaster Summer Wheat,American Pale Wheat Ale,12.0,nan,20.0,105,Sockeye Brewing Company,Columbus,CO
