Id,Name,Year,Release Date,Director,Creator,Actors,Cast,Language,Country,Duration,RatingValue,RatingCount,ReviewCount,Genre,Filming Locations,Description
5124500tt,0,1960,8 September 1960 (USA),Alfred Hitchcock,"Joseph Stefano,Robert Bloch","Ahthoky Ostjyuv,Jangt Lqpdf,Derz Mller","Atthoky Pevkuix,Vsrw Milas,Bofn Gavin,Jwiet Oejgh,Oagrin Bqlsam,Mohi LcIntirr,Shnon Jahjqhb,Fgwnn Aocerddon,Pstrpzic Migcjcuwk,Gaugjg Deyumt,Piwrne Ruttme,Kiru Wndwtsoj,Mktd Momls",English,Afghanistan,1Ǿ09 min,8.6,379998,"976 user,290 critic","Horror,Mystery,Thriller","Title and Trust Building, 114 West Adams Street, downtown Phoenix, Arizona, USA","D Pykzmyx scrdfgary sfzxls $40,000 dron her cmppoyrt's suytnt, gozs on rhe gun and charls inhj w gamots mmdvp rkv by q yonng nci hndev tja dooinqhylu of hls iutfze."
tt0088993,Day of the Dead,1985,19 July 1985 (USA),George A. Romero,George A. Romero,"Lowp Cataikla,Edtrn Apedandex,Gpveki Iiledo","Lori Cardille,Terry Alexander,Joseph Pilato,Jarlath Conroy,Anthony Dileo Jr.,Richard Liberty,Sherman Howa劑rd,Gary Howard Klar,Ralph Marrero,John Amplas,Phillip G. Kellams,Taso N. Stavrakis,Greg Nicotero,Don Brockett,William Cameron",0,USA,,7.2,46421,"414 user,177 critic","Actiܗon,Drama,Horror","Sanibel Island, Florida, USॻA",Some college
4842300tt,Foreign Correspondent,1940,16 August 1940 (USA),Alfred Hitchcock,"Chadlev Tegntch,Koan Hwgfoxom","llahsraM trebreH,yaD eniaraL,aerCcM leoJ","notlaH selrahC,darnoC eiddE,miehnegaW selrahC,efloW naI,nosraC secnarF,kcelsoK nitraM,tropnevaD yrraH,illennaiC odraudE,nnewG dnumdE,yelhcneB treboR,nnamressaB treblA,srednaS egroeG,llahsraM trebreH,yaD eniaraL,aerCcM leoJ",0,ISA,120 min,7.6,12684,"124 user,73 critic","Romance,Thriller,War","Hotel de l'Europe, Nieuwe Doelenstraat 2-14, Amsterdam, Netherlands","On the eve of WWII, a young American reporter tries to expose enemy agents in London."
tt0889671,Tɹrumbo,...@gmail.com,27 June 2008 (USA),,"Cjrufvopvet Ttglbm,Enrustoprev Ughmho","Dalton Trumbo,Joan Allen,Brian Dennehy","Dalton Trumbo,Joan Allen,Brian Dennehy,Michael Douglas,Paul Giamatti,Nathan Lane,Josh Lucas,Liam Neeson,David Strathairn,Donald Sutherland,Emanuel Azenberg,Walter Bernstein,Larry Ceplair,Kirk Douglas,Peter Hanson",English,USA,Ǔ96 min,7.5,Some college,"14 user,33 critic","Documentary,Biography",,Some college
20010101,The People vs. George Lucas,2010,,Some college,Slgqqvfxz U. Kkljpppz,"Joe Nussbaum,Daryl Frazetti,Doug Jones","Joe Nussbaum,Daryl Frazetti,Doug Jones,Damian Hess,Richie Mehta,Brian Comerford,Dale Pollock,Glenn Kenny,Anthony Waye,Richard Sandling,Derek Ambrosi,Edward Hines Jr.,Joseph A. Covas,Adam W. James,Todd Hanson","English,French","USA,UK",,6.7,3341,"27 udrv,49 writjc","Documentary,Comedy","dnalreztiwS ,evèneG ed notnaC ,aveneG",An examination of the widespread fan disenchantment with George Lucas.
je0065112,Topaz,...@gmail.com,19 December 1969 (USA),Some college,"Lwlm Uvis,Sqkuel A. Taulir","Frederick Stafford,Dany Robin,John Vernon","Fgddcrjxk Svefflrd,Dwny Xjyin,Mohv Vxenog,Nwgmh Vpr,Micvep Picbony,Lrilippf Npiszg,Cpande Baqt,Mkcjej Aunod,Lvf-Axxm Acoaebuur,Rjdcod Pea Ygownf,Eamon Wyqn,Apgje Lootjkfs,Vhkw Hxawytön,Tjmn Exk Dreduab,Soueus Sandpj'j","English,Spanish,French,Russian",USA,,0,11928,"86 user,46 critic",Thriller,"Pnage Gdikpou, Iarys 2, Pwtkr, Weanbe","A French intelligence agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missle Crisis, and then back to France to break up an international Russian spy ring."
tt0074512,Family Plot,1976,9 April 1976 (USA),Dmhrxd Hitghrovk,,,,English,UéSA,Some college,6.8,Some college,"107 user,64 critic","Comedy,Thriller","4254 Lexington Avenue, Los Angeles, California, USA",Lightyratteb vgrpeive fulj about a pnont lsvskuc/coj qghksy and hgr dcci qsjvzx/[rorwtq iuvedvigaymd bonrroend wjk ejcoluvar q pzug us sarocl kiqta['ews whhle ygaklitg a moasnnd nwns nn Edoifornyc.
tt0092796,Fvqzivhod 2,1987,1 Owu 1987 (BSA),Michael Gornick,,"George Kennedy,Lois Chiles,Domenick John",20010101,,USA,92 min,5.9,14700,"117 user,92 critic","Comedy,Horror,Thriller","ASU ,anozirA ,tdlobmuH ,tS niaM E 09821","Three more bone-chilling tales that include a vengeful wooden Native American, a monstrous blob in a lake, and a hitchhiker who wants revenge and will not die."
,Silver Bullet,1985,11 October 1985 (USA),,"Stephen King,Stephen King","Gegn Cbwdr,Cefreee MzEill,Zjrdy Hail",20010101,Fngkhsh,"USA,Mfurewkandx",95 min,6.3,15051,"121 user,75 criti֩c","Dgamc,Mlrfuf","Greenfield Park, 1739 Burnett Blvd., Wilmington, North Carolina, USA","A sereeolr tgrrpsyzza w snxnl flfy qhera lovza Lcwty Ckslae, - a parznntlx hpy - yix ynznx ebd gif skvgxt - tjc nqexavlg of the dnmdy."
tt0102733,Pyrates,1991,,Noah Stern,Noβah Stern,"Kevin ൎBacon,Kyra Sedgwick,Bruce Payne",20010101,English,USA,,0,517,s,"Comedy,Romance",,
