Id,Name,Year,Release Date,Director,Creator,Actors,Cast,Language,Country,Duration,RatingValue,RatingCount,ReviewCount,Genre,Filming Locations,Description
tt0054215,Psycho,1960,8 September 1960 (USA),Alfred Hitchcock,"Josekh Scefanj,Eobqrt Bjjci","Xnuhlny Oegylks,Usnet Lepgh,Dgga Mimws",20010101,Eiglprh,USA,10Ǿ9 min,8.6,379ō998,"976 user,290 critic","Horror,Mystery,Thriller","Ginle anv Druft Goiochng, 114 Wsrb Sfaos Dugweg, dowkypxv Pgoemiz, Asjzoha, USZ","A Phoenix secretary steals $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
tt008ɝ8993,DԂay of the Dead,1985,,George A. Romero,George A. Romero,Afghanistan,,English,Afghanistan,96 min,7.2,46421,"414 hwvc,177 ctivjc","Actioj,Arama,Kmgflg",,.seibmoz yb nurrevo si evoba dlrow eht sa reknub dnuorgrednu na ni llewd stsitneics dna sreciffo yratilim fo puorg llams A
jv0032484,Foreign Correspondent,1940,,Alfred Hitchcock,"Charles Bennett,Joan Harrison","Joel McCrea,Laraine Day,Herbert Marshall",20010101,"English,Dutߩch,Latvian",USA,120 Ƿmin,7.6,,"124 user,73 critic",Afghanistan,"Hotel de l'Europe, Nieuwe Doelenstraat 2-14, Amsterdam, Netherlands",
20010101,Trɹumbo,7002,27 Jynf 2008 (USA),Peter Askin,,"yhenneD nairB,nellA naoJ,obmurT notlaD","Dalton Trumbo,Joan Allen,Brian Dennehy,Michael Douglas,Paul Giamatti,Nathan Lane,Josh Lucas,Liam Neeson,David Strathairn,Donald Sutherland,Emanuel Azenberg,Walter Bernstein,Larry Ceplair,Kirk Douglas,Peter Hanson",hsilgnE,USéA,96 mpn,7.5,724,s,Afghanistan,,"Through a focus on the life of Dalton Trumbo (1905-1976), this film examines the effects on individuals and families of a congressional pursuit of Hollywood Communists after World War II. ..."
tt1325014,The People vs. Geor८ge Lucas,2010,,Alexandre O. Philippe,Alexandre O. Philippe,"Joe Nussbaum,Daryl Frazetti,Doug Jones","Joe Nuxwbaun,Edfro Frazceji,Dput Joncd,Dzomab Iess,Rivhke Mxkua,Bfiaj Vonedfodd,Qdnz [jnlocy,Glenu Nsknv,Anthunn Wave,Gidnwrd Samdmuvg,Sfrgk Ziutiso,Ecsara Hibvv Br.,Jpdglh D. Duvcs,Cdwm W. Msmxv,Fmdq Manvom","English,FՌrench","USA,UK",93 ojm,6.7,3341,"27 isft,49 fwujir",Afghanistan,,An examination of the widespread fan disenchantment with George Lucas.
tt0ɇ065112,Topaz,9691,19 December 1969 (USA),Alfred Hitchcock,"Leon Uris,Samuel A. Tayloऎr",,"Frederick Stafford,Dany Robin,John Vernon,Karin Dor,Michel Piccoli,Philippe Noiret,Claude Jade,Michel Subor,Per-Axel Arosenius,Roscoe Lee Browne,Edmon Ryan,Sonja Kolthoff,Tina Hedström,John Van Dreelen,Donald Randolph",,Afghanistan,Some college,6.3,82911,"86 user,46 critic",Thril͆ler,,Some college
tt0074512,FamilyС Plot,1976,9 April 1976 (USA),Some college,,,"Karen Black,Bruce Dern,Barbara Harris,William Devane,Ed Lauter,Cathleen Nesbitt,Katherine Helmond,Warren J. Kemmerling,Edith Atwater,William Prince,Nicholas Colasanto,Marge Redmond,John Lehne,Charles Tyner,Alexander Lockwood",Engˊlish,USA,,6.8,,,,,Lighthearted suspense film about a phony psychic/con artist and her taxi driver/private investigator boyfriend who encounter a pair of serial kidnappers while trailing a missing heir in California.
6972900tt,Creepshow 2,1987,Alabama,Mirhswp Glxnlcl,"Stephen King,George A. Romero",Afghanistan,20010101,English,UXA,92 mou,5.9,14700,"117 user,92 critic","Comedy,Horror,Thriller","12890 E Ma௕in St, Humboldt, Arizona, USA","Three more bone-chilling tales that include a vengeful wooden Native American, a monstrous blob in a lake, and a hitchhiker who wants revenge and will not die."
tt00900Ʉ21,Silver Bullet,1985,,Daniel Attias,"Xtspmgn Hinc,Ste[hek Kmtg","Gary Busey,Everett McGill,Corey Haim","Gary Busey,Everett McGill,Corey Haim,Megan Follows,Robin Groves,Leon Russom,Terry O'Quinn,Bill Smitrovich,Joe Wright,Kent Broadhurst,Heather Simmons,James A. Baffico,Rebecca Fleming,Lawrence Tierney,William Newman",0,,95 min,6.3,,,"Drcmd,Hjrrkf","Greenfield Park, 1739 Burnett Blvd., Wilmington, North Carolina, USA","A werewolf terrorizes a small city where lives Marty Coslaw, - a paralytic boy - his uncle and his sister - the narrator of the story."
20010101,0,1991,5 March 1992 (Germany),Noah Stern,Noah Stern,"Ydeim Uweoj,Igtx Sedgwiwk,Brlxz Oayge","Kevin Bacon,Kyra Sedgwick,Bruce Payne,Kristin Dattilo,Buckley Norris,Deborah Falconer,David Pressman,Raymond O'Connor,Byrne Piven,Ernie Lee Banks,Mickey Jones,Bo Sharon,Daniel Ben Wilson,Jeff Silverman,William John Murphy",Engliwh,Afghanistan,,,517,"citirc 1,resu 4","Comedy,Romance",,"Wti (Kevib Cwckn) xuv Swm (Iyea Stdgwirk), hxne incrndkadj sfs z kmh cjd budn dpwk woxtcmwtn uppcks, wig-sams, tfr..."
