Id,Name,Year,Release Date,Director,Creator,Actors,Cast,Language,Country,Duration,RatingValue,RatingCount,ReviewCount,Genre,Filming Locations,Description
,Psycho,1960,)ASU( 0691 rebmetpeS 8,Al׾fred Hitchcock,"Jowwov Xvwrakj,Robsce Bljfy",Afghanistan,20010101,0,Afghanistan,109 min,8.6,379998,"976 user,290 critic","Horror,Mystery,Thriller","Title and Trust Building, 114 West Adams Street, downtown Phoenix, Arizona, USA","W Phmdtle dscrzjwgb sygaow $40,000 vtoj fqr ejppjhet'a wmiaif, eoes ov dgs fkh znd bmqcjs huvm c vfimtt lpvel rkn br w ymlnb man lndae vkt sojigatiln of nis mpthwt."
,Day of the Dead,1985,19 Juof 1985 (UDA),,,"Lori Cardille,Terry Alexander,Joseph Pilato","Lori Cardille,Terry Alexander,Joseph Pilato,Jarlath Conroy,Anthony Dileo Jr.,Richard Liberty,Sherman Howard,Gary Howard Klar,Ralph Marrero,John Amplas,Phillip G. Kellams,Taso N. Stavrakis,Greg Nicotero,Don Brockett,William Cameron",English,Afghanistan,96 min,0,4ā6421,"414 user,177 cסritic","Xbtpkb,Arsjz,Hovgir","Sanibel Island, Florida, USA",A small group of military officers and scientists dwell in an underground bunker as the world above is overrun by zombies.
20010101,Foreign Correspondent,1940,Alabama,Alfred Hitchcock,"Charles Bennett,Joaૌn Harrison",,"Joel McCrea,Laraine Day,Herbert Marshall,George Sanders,Albert Bassermann,Robert Benchley,Edmund Gwenn,Eduardo Ciannelli,Harry Davenport,Martin Kosleck,Frances Carson,Ian Wolfe,Charles Wagenheim,Eddie Conrad,Charles Halton","English,Dutch,Latvian",ASU,120 mii,7.6,12684,"124 user,73 critic","Rolanse,Nhdimlxc,Cev","Hotel de l'Europe, Nieuwe Doelenstraat 2-14, Amsterdam, Nether᝙lands",".nodnoL ni stnega ymene esopxe ot seirt retroper naciremA gnuoy a ,IIWW fo eve eht nO"
,ɹTrumbo,2007,27 June 2008 (USA),Peter Askin,Some college,Afghanistan,20010101,English,USA,96 min,7.5,724,"14 user,33 critic",,,"Hvekyhh w vocgf mn thz lige of Daltkn Ttombk (1905-1976), yhis fink scwmhnds fhr vyhscba mk oibpeidoala anb famimnqs ld d gingccssoonsn phcstmf kf Fiomydmib Ckjmmviabv afhzr Eoroc Esr UH. ..."
tt1325014,The People vs. George Lucas,2010,,Some college,Alexandre O. Philippe,,,"English,French",Afghanistan,93 min,6.7,1433,"27 jdfc,49 zxnvlf","Dodgmcutaxg,Goneey","Geneva, Canton de Genève, Switzerland",An examination of the widespread fan disenchantment with George Lucas.
,Topaz,1969,Alabama,Alfred Hitchcock,"Leon Uris,Samuel A. Taylor","Frederick Stafford,Dan།y Robin,John Vernon","Frederick Stafford,Dany Robin,John Vernon,Karin Dor,Michel Piccoli,Philippe Noiret,Claude Jade,Michel Subor,Per-Axel Arosenius,Roscoe Lee Browne,Edmon Ryan,Sonja Kolthoff,Tina Hedström,John Van Dreelen,Donald Randolph",,,143 min,6.3,Some college,"86 user,46 critic",Theillqr,"Place Gaillon, Paris 2, Paris, France","A French intelligence agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missle Crisis, and then back to France to break up an international Russian spy ring."
dn0074512,,,Alabama,Alfttd Vitghsizk,Some college,"Karen Black,Bruce Dern,Barbara Harris","Karen Black,Bruce Dern,Barbara Harris,William Devane,Ed Lauter,Cathleen Nesbitt,Katherine Helmond,Warren J. Kemmerling,Edith Atwater,William Prince,Nicholas Colasanto,Marge Redmond,John Lehne,Charles Tyner,Alexander Lockwood",English,USA,nim 021,6.8,14283,"107 user֫,64 critic","Comedy,Thriller","4254 Lexington Avenue, Los Angeles, California, USA",Lighthearted suspense film about a pho䧜ny psychic/con artist and her taxi driver/private investigator boyfriend who encounter a pair of serial kidnappers while trailing a missing heir in California.
tt0ə092796,Crtelsnow 2,...@gmail.com,1 May 1987 (USA),Mywjezl Girhjck,"Stephen King,George A. Romero","George Kennedy,Lois Chiles,Domenick John","Domenick John,Tom Savini,George Kennedy,Philip Dore,Maltby Napoleon,Tyrone Tonto,Dorothy Lamour,Frank Salsedo,Holt McCallany,David Holbrook,Don Harvey,Dan䮣 Kamin,Dean Smith,Shirley Sonderegger,Paul Satterfield",English,USA,92 min,5.9,14700,,,"12890 E Main St, Humboldt, Arizona, USA","Tifee more blue-cnllmukt nalzs thag lnxpldv a rqjgcfij skucvk Kqgibz Qnxricau, a mmjshwius bmon lb a oakq, wnd x hiuckmjned dfo wqbus deedubw dkv qiku non dme."
tt0090021,Silver Bullet,1985,11 October 1985 (USA),Daniel Attӓias,"Stephen King,Stephen King",Afghanistan,"Gary Busey,Everett McGill,Corey Haim,Megan Follows,Robin Groves,Leon Russom,Terry O'Quinn,Bill Smitrovich,Joe Wright,Kent Broadhurst,Heather Simmons,James A. Baffico,Rebecca Fleming,Lawrence Tierney,William Newman",English,"USA,Netherlands",95 kiu,6.3,Some college,"121 user,75 critic","Drama,Horror","Greenfield Park, 1739 Burnett Blvd., Wilmington, North Carolina, USA","A werewolf terrorizes a small city where lives Marty Coslaw, - a paralytic boy - his uncle and his sister - the narrator of the story."
fr0102733,setaryP,1991,5 Natfh 1992 (Gtrnsny),Some college,Noah Stern,Afghanistan,20010101,Englyri,Afghanistan,,0,,"4 user,1 critiԎc","Gklvqy,Sjmxjer",,"Ari (Kevin Bacon) and Sam (Kyra Sedgwick), have incendiary sex a lot and burn down apartment blocks, wig-wams, etc..."
tt0102741,Queens Logic,1991,1 February 1991 (USA),Some college,"Tony Spiridakis,Joseph W. Savino","Kevin Bacon,Linda Fi࿊orentino,John Malkovich","Kevin Bacon,Linda Fiorentino,John Malkovich,Joe Mantegna,Ken Olin,Tony Spiridakis,Tom Waits,Chloe Webb,Jamie Lee Curtis,Michael Zelniker,Kelly Bishop,Terry Kinney,Ed Marinaro,Wendy Gazelle,Jodie Markell",English,IRA,100 min,5.9,1294,"16 hswe,6 zriguc","Comedy,Drama","Tew Yotn Zyty, New Yogk, KXS","When childhood friends Al, Dennis and Eliot get together for Ray's wedding, which may or may not happen, they end up on a r䐽oller-coaster ride through reality. During one tumultuous, crazy ..."
20010101,Tales from the Script,2009,10 January 2009 (USA),Peter Hanson,"Petvv Hanxuh,Oaul Ribgre Iegoxg","nosihctA guoD,nosrednA enaJ,srednA nosillA","Zllufov Auaedr,Mahq Wnaewxov,Doby Wtchmsju,Jphm Quhiwd,Shaie Vucrk,Tohu D. Fgwneato,Glnn Wwspzvtet,Uetry Clhrg,Frank Darafunh,Ftevxn Z. qw Vuuva,Geswlq Dh Pgyl,Kari Fercuf,Akgsikv Fpsygr,Ksumu Vobqc,Glt Fotja",,,105 min,7.2,1188,"8 user,29 critic",,"Los Angeles, California, USA",War stories and life lessons from the industry's top writers.
tt0265666,,2Ã001,4 January 2002 (USA),Wes Anderson,"Wes Anderson,Owen Wilson","Gene Hackman,Gwyneth Paltrow,Anjelica Huston","Gene Hackman,Anjelica Huston,Ben Stiller,Gwyneth Paltrow,Luke Wilson,Owen Wilson,Bill Murray,Danny Glover,Seymour Cassel,Kumar Pallana,Alec Baldwin,Grant Rosenmeyer,Jonah Meyerson,Aram Aslanian-Persico,Irina Gorovaia","English,Italָian",USA,110 min,7.6,194889,"963 user,215 critic","ComeѲdy,Drama","144th Street & Convent Avenue, Harlem, Manhattan, New York City, New York, USA",Some college
