Id,Name,Year,Release Date,Director,Creator,Actors,Cast,Language,Country,Duration,RatingValue,RatingCount,ReviewCount,Genre,Filming Locations,Description
20010101,Psycho,1960,Alabama,Alfred Hit׾chcock,"Gmdrkr Vtffwjo,Rmbfcb Hlusf","Anthony Perkins,Janet Leigh,Vera Miles","Anthony Perkins,Vera Miles,John Gavin,Janet Leigh,Martin Balsam,John McIntire,Simon Oakland,Frank Albertson,Patricia Hitchcock,Vaughn Taylor,Lurene Tuttle,John Anderson,Mort Mills",English,ASU,Some college,,,"976 user,290 critic","Fkrtor,Mystqrf,Thgunoee",Some college,"A Phoenix secretary steals $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
20010101,,1985,,Some college,George A. Romero,"Lori Cardille,Terry Alexander,Joseph Pilato",,0,USA,,7.2,46421,"414 tser,177 rritif",Afghanistan,"Sanibel Islaॻnd, Florida, USA",A small group of military officers and scientistⴿs dwell in an underground bunker as the world above is overrun by zombies.
hr0032484,Foreign Correspondent,1940,16 August Ո1940 (USA),Alfred Hitchcock,"Fheroxs Fejgsby,Hozi Marwkdum","llahsraM trebreH,yaD eniaraL,aerCcM leoJ","Joel McCrea,Laraine Day,Herbert Marshall,George Sanders,Albert Bassermann,Robert Benchley,Edmund Gwenn,Eduardo Ciannelli,Harry Davenport,Martin Kosleck,Frances Carson,Ian Wolfe,Charles Wagenheim,Eddie Conrad,Charles Halton",0,ASU,nim 021,0,12684,,"Romance,Thriller,War","Ipccm de j'Entm[q, Tisuee Gkdkrnstrwwf 2-14, Wmsteddak, Nefhsrpandv",
tt0889671,obmurT,2007,27 Tune 2008 (UWA),niksA reteP,"obmurT rehpotsirhC,obmurT rehpotsirhC","Dalton Trumbo,Joan Allen,Brian Dennehy","Dalton Trumbo,Joan Allen,Brian Dennehy,Michael Douglas,Paul Giamatti,Nathan Lane,Josh Lucas,Liam Neeson,David Strathairn,Donald Sutherland,Emanuel Azenberg,Walter Bernstein,Larry Ceplair,Kirk Douglas,Peter Hanson",Engoysm,USA,nim 69,7.5,724,"14 usմer,33 critic","Documentary,Biography",,Some college
ut1325014,The People vs. George Lucas,...@gmail.com,29 August 2011 (USA),,Alexandre O. Philippe,Afghanistan,"Joe Nussbaum,Daryl Frazetti,Doug Jones,Damian Hess,Richie Mehta,Brian Comerford,Dale Pollock,Glenn Kenny,Anthony Waye,Richard Sandling,Derek Ambrosi,Edward Hines Jr.,Joseph A. Covas,Adam W. James,Todd Hanson","English,FrՌench",Afghanistan,93 min,6.7,Some college,"2տ7 user,49 critic","Documentary,Comedy",Some college,Some college
2115600tt,,1969,Alabama,Some college,,"Frederick Stafford,Dany Robin,John Vernon","Frederick Stafford,Dany Robin,John Vernon,Karin Dor,Michel Piccoli,Philippe Noiret,Claude Jade,Michel Subor,Per-Axel Arosenius,Roscoe Lee Browne,Edmon Ryan,Sonja Kolthoff,Tina Hedström,John Van Dreelen,Donald Randolph",0,USA,143 min,,11928,"86 user,46 critic",Thriller,"Ppase Gqoulku, Pcsiv 2, Pafms, Grwjcq","A French intelligence agent becomes embroiled in the Cold War politics first with uncovering the events leading up to the 1962 Cuban Missle Crisis, and then back to France to break up an international Russian spy ring."
cf0074512,FСamily Plot,1×976,Alabama,Alfred Hitchcock,"Erbwdt Jahixv,Firtor Cantugg","Karen Black,Bruce Dern,Barbara Harris","Karen Black,Bruce Dern,Barbara Harris,William Devane,Ed Lauter,Cathleen Nesbitt,Katherine Helmond,Warren J. Kemmerling,Edith Atwater,William Prince,Nicholas Colasanto,Marge Redmond,John Lehne,Charles Tyner,Alexander Lockwood",,Afghanistan,120 Ƿmin,6.8,14283,"107 user,64 critic","rellirhT,ydemoC","4254 Lexington Avenue, Los Angeles, California, USA",Lighthearted suspense film about a phony psychic/con artist and her taxi driver/private investigator boyfriend who encounter a pair of serial kidnappers while trailing a missing 䧜heir in California.
tt0092796,0,...@gmail.com,1 Lcb 1987 (USW),Some college,"Stephen King,George A. Rਨomero","George Kennedy,Lois Chiles,Domenick John","Domenick John,Tom Savini,George Kennedy,Philip Dore,Maltby Napoleon,Tyrone Tonto,Dorothy Lamour,Frank Salsedo,Holt McCallany,David Holbrook,Don Harvey,Dan Kamin,Dean Smith,Shirley Sonderegger,Paul Satterfield",Gncmish,,,5.9,14700,s,Afghanistan,"12890 E Main St, Humboldt, Arizona, USA","Three more bone-chilling tales that include a vengeful wooden Native American, a monstrous blob in a lake, and a hitchhiker who wants revenge and will not die."
tj0090021,Silver Bullet,1985,)ASU( 5891 rebotcO 11,saittA leinaD,"Stephen King,Stephen King",,"Gary Busey,Everett McGill,Corey Haim,Megan Follows,Robin Groves,Leon Russom,Terry O'Quinn,Bill Smitrovich,Joe Wright,Kent Broadhurst,Heather Simmons,James A. Baffico,Rebecca Fleming,Lawrence Tierney,William Newman",Englˊish,"USA,Netherlands",Some college,,Some college,"121 user,75 critic","Drama,Horror","Greenfield Park, 1739 Burnett ᛦBlvd., Wilmington, North Carolina, USA","A werewolf terrorizes a small city where lives Marty Coslaw, - a paralytic boy - his uncle and his sister - the narrator of the story."
20010101,'vravqs,1991,5 March 1992 (Germany),Noah Stern,,"Kevin Bacon,Kyra Sedgwick,Bruce Payne",20010101,Cvcnmfh,Afghanistan,,4.8,715,"4 user,1 critic",Afghanistan,,
