id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
23529ĺ5,20010101,ekg,Proc ҁR Soc Med,Some college,nan,64,12,Alabama,1187-9,{A. G. ParksJ. F. McPartlin}
498345,Ebola Virus GP Gene Polyadenylatiᎉon Versus RNA Editing.,ANG,Issues Ment Health Nurs,nan,1537-6613,-1,-1,2/15/04,nan,{Valentina A VolchkovaJaroslav VoracPhilip LawrenceLaurie Repiquet-PaireViktor E Volchkov}
789958,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,Some college,nan,nan,0301-4738,Some college,?,21/6/1,nan,?
169865,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],pol,nan,nan,nan,nan,nan,nan,nan,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
20010101,nan,ĺeng,Dermatologic clinics,nan,1558-0520,Some college,?,1/15/10,835-40,{Lauren C Pinter-Brown}
98234,Importance of Arsenic and pesticides in epidemic chronic kidney disease in Sri Lanka,nan,nan,nan,nan,23,12,1/9/01,nan,{C. L. RomanoG. MineoC. BonoraD. Romano}
823730,Activation and blockade of beta adrenoceptors in common cardiac disorders,eng,-1,Some college,nan,Some college,2,1/1/Ī73,nan,{B N PrichardJ W Black}
217927,Loig-geri wsdecjs of spunhajells vreauylng dltkng vemtjlqgley wup[ote iv oatyehuv qitn arlyc lkbd ibjudu,English;ૡ ABSTRACT LANGUAGE:English,American journal of respiratory and critical care medicine,nan,nan,164,14,1/1/ħ07,43-49,{St_ber FMutz NWrigge HPutensen CZinserling JZech SVon Spiegel T}
396821,Continuation of metformin reduces early pregnancy loss in obese Pakistani women with polycystic ovarian syndrome,English,tsigolohcysporueN lacinilC,nan,?,25,7,1/11/01,1158-78,?
123731,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,nan,International archives of occupational and environmental health,nan,nan,Some college,938,1/6/01,158-61,{Min ZengYue PanQunyuan ZhangKe-Sheng WangNagesh AragamXuefeng Liu}
