ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
131,217418,Teaching medical student geriatrics competencies in 1 week: an efficient model to teach and document selected competencies using clinical and community resources,nan,Journal of the American Geriatrics Society,J. Hypertens.,1573-2959,68,7,1/1/99,15-16,{Jamehl L. DemonsJeff D. WilliamsonKathryn E. CallahanJames LovatoJanice S. LawlorHal H. AtkinsonAnn LambrosFranklin S. WatkinsKaycee M. SinkBrooke R. DavisMary F. Lyles}
664,681305,Pooled analysis of non-union re-operation infection and approach related complications after anterior odontoid screw fixation.,English,PLoS One,J. Med. Chem.,0109-2502,9,10,1/7/01,e103065,{M. MartinengoD. F. ArdenghiG. RealiG. Tripodi}
872,691035,No need for routine closed suction drainage in elective arthroplasty of the hip: a prospective randomized trial in 104 operations,eng,Bmj Open,nan,2044-6055,82,5,nan,e004623,{Thirimon Moe-ByrneDuncan ChambersMelissa HardenCatriona McDaid}
100,420138,Dietary practices of ballet jazz and modern dancers,nan,Journal of the American Dietetic Association,Curr.Opin.Infect.Dis.,nan,92,3,1/1/92,319-324,{Stensland SHSobal J}
373,180827,CO2 emission inventories for Chinese cities in highly urbanized areas compared with European cities,nan,nan,nan,0301-4215,13,0,1/9/03,298-308,{W. YuR. PaganiL. Huang}
88,220950,Forensic odontology: A prosthodontic view,nan,nan,nan,nan,4,1,1/14/01,65-68-,{S. GosaviS. Gosavi}
459,914468,Polymorphisms of the XPC gene may contribute to the risk of head and neck cancer: a meta-analysis.,nan,Acta cytologica,nan,nan,56,4,1/9/01,nan,{N. Klauber-DeMoreK. FechoN. R. MillerW. S. BlauS. A. MerrittC. S. Hultman}
331,352040,Usefulness of a Survey on Underage Drinking in a Rural American Indian Community Health Clinic,nan,Violencia contra a crianca: revelando o perfil dos atendimentos em servicos de emergencia Brasil 2006 e 2007.,nan,1592-7830,20,2,1/13/01,26-Jan,{Richard J. A. Murrin}
215,77389,Symptoms tell it all: a systematic review of the value of symptom assessment to predict survival in advanced cancer patients.,nan,Physiotherapy Theory and Practice,nan,0077-8923,84,1,1/14/01,130-48,{Emile E VoestSaskia C C M TeunissenAlexander de GraeffMarija Trajkovic-Vidakovic}
467,968211,Ebus-tbna yields multiple gene analyses and a panel of immunohistochemical stains on routinely prepared cell blocks in non-small cell lung cancer cases,English,Human gene therapy,nan,nan,8,0,1/15/01,100A,{H. Y. TongJ. FriasR. LubomirovP. LapunzinaA. M. BorobiaJ. TenorioP. AriasA. J. Carcas}
122,843485,Pathways of care-seeking during fatal infant illnesses in under-resourced South African settings.,eng,Transactions of the Royal Society of Tropical Medicine and Hygiene,nan,0077-8923,12,2,1/9/01,nan,{Peter J WinchMickey ChopraCynthia S MinkovitzDebra JacksonAlyssa B Sharkey}
615,145770,Outcomes from patients with multi-vessel disease following primary PCI: staged PCI imparts very low mortality.,eng,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,nan,1522-726X,50,5,1/11/04,617-22,{Gilles MontalescotGordon FitzGeraldKurt G Barringhaus[Collective Name] GRACE InvestigatorsFrans Van de WerfJoel M GoreDavid D McManusJos L_pez-Send_nPhilippe Gabriel StegKay Lee Park}
21,82614,Lycopene metabolite apo-10'-lycopenoic acid inhibits diethylnitrosamine-initiated high fat diet-promoted hepatic inflammation and tumorigenesis in mice.,nan,Cancer prevention research (Philadelphia Pa.),Cancer Prev Res (Phila),1940-6215,6,2,1/12/07,153,{Lynne M AusmanMartin S ObinXiang-Dong WangChun LiuBlanche C IpDonald E SmithKang-Quan Hu}
701,917231,Feasibility of using hospital personnel to create a sustainable CPR training program for family members of hospitalized patients,nan,nan,nan,nan,4,1,1/12/01,nan,{N SaijoM YamakidoK D TewY FujiwaraK KasaharaM BungoY Sugimoto}
72,826030,A cognitive behavior intervention program in women with unexplained chest pain--a pilot study,eng,nan,Eur J Cardiovasc Nurs,1474-5151,11,2,1/14/07,S136,{Cecilia Bj_rkelundMargaretha Jerlock}
107,226419,High intensity interval exercise training in overweight young women,nan,nan,nan,nan,52,3,1/12/01,255-62,{Y. FengyingY. HainaiW. JianxiongT. Sijie}
271,836847,Thoracic Aortic Aneurysm: Reading the Enemy's Playbook,nan,Curr. Probl. Cardiol.,nan,-10475,35,5,nan,203-277,{Elefteriades J.A.}
861,470615,Transapical aortic valve implantation in 175 consecutive patients: excellent outcome in very high-risk patients.,nan,nan,nan,nan,44,0,1/12/01,163-176,{Francitorra MESanchez GSManrique CAVelasco TTCastany A REscriche XFFernndez CSFornell LLlvarez SFernndez EARodriguez MVFSim_ MRMayo EP}
436,395807,Randomized double-blind placebo-controlled trial of the 5-HT1A receptor antagonist AZD7371 tartrate monohydrate (robalzotan tartrate monohydrate) in patients with irritable bowel syndrome,eng,nan,nan,nan,0,0,1/8/01,468-493,{J. NaesdalM. DanilewitzJ. AdlerD. G. DA  - Oct DO  - 10.1111/j.1572-0241.2008.02115.x DP  - NLM ET  - 2008/09/09 SilbergC. HwangD. A. Drossman}
103,953002,Nasal steroids in snorers can decrease snoring frequency: a randomized placebo-controlled crossover trial,English,nan,nan,nan,24,3,1/6/07,160-6,{NULL}
