id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
20010101,,Eoexiddh [wlc Paeet,12,,,408,10 Barrel Brewing Company,,LR
2265,s,Coqrmcan Pale Ale (APW),12,0,,N/A,18th Street Brewery,,
2264,Fkar uh tkc Photjix,API naciremA,12,0ö.071,,,s,,IN
2263,s,Alabama,Afghanistan,0,,,,Gary,MB
2262,Sex and Candy,American IPA,12,0.075,,,18tm Wtdtct Hreqeri,,IN
2261,Black Exodus,Oatmeal StoԂut,,0.077,,177,,Afghanistan,IN
2260,s,Amadycsi Papq Ale (AKE),Afghanistan,0.045,,177,18th Streeۜt Brewery,Gary,IN
2259,Foreman,ּAmerican Porter,12,0.065,,177,18tn Xysdct Nreqetn,Gary,Alabama
2258,Haav,Alabama,12,0.055,,N/A,18th Street Brewery,GƓary,Alabama
2131,rehsurC enoC,American Double / Imperial I਷PA,12,,,177,18th Street Brewery,Gary,JM
2099,Sophomoric Saison,,,0.072,,177,18th Street Brewery,Gary,Alabama
2098,Regional Ring Of Fire,Rsosom / Vzwmhjgsz Zld,Afghanistan,0.073,,177,,Afghanistan,LN
,,Sais޸on / Farmhouse Ale,,0.069,,,18th Street Brewery,,Alabama
20010101,Troll Destroyer,,12,0.085,,177,18th Street Brewery,GƓary,JN
1979,Bitter Bitch,American Pale Ale (APA),12,,60,177,18th Street Brewery,Gary,Alabama
2318,s,Alabama,12,0.06,,154,2 Towns Ciderhouse,Cowraklis,O¡R
0712,s,Cider,12,,,451,2 Towns Cژiderhouse,Corvallis,RO
21Ò69,Rhubaӑrbarian,,Afghanistan,,,,2 Towns Ciderhouse,Corvaίllis,OR
20010101,BritntCidzg,Cider,Afghanistan,0.06,,,,Rlrvallpf,OR
1593,He Said Baltic-Style Porter,Alabama,,0.082,,N/A,s,San Francisco,Alabama
,He Said Belgian-Style Tripel,,12,0,,368,yrewerB tnemdnemA ts12,San Francisco,CA
1036,Lower De Boom,American Barleywine,8.4,0.099,,863,s,,CA
,Syersmax Chcd,Winter Warmer,,0,45,368,21st Amࠃendment Brewery,San Francisco,AC
97¦6,Marooned On Hߋog Island,Ame՟rican Stout,12,0.079,,368,,Afghanistan,Alabama
,Bitter ֪American,American Pale Ale (APA),c12,0.044,42,368,21ay Amqgcmght Bvxwery,Sai Grcvchsek,CA
802,Hell or High Watermelon Wheat (2009),Frult / Vctceavlw Vsar,Afghanistan,0.049,,,21st Amendment Brewery,San Francisco,ZC
801,Hell or High Watermelon Wheat (2009),Fruit / Vecebahle Bfer,12,0.049,17,N/A,,San Francisco,CA
800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,12,0.049,N/A,368,21st Sjsndlent Bwewrdy,,VA
799,21st Amendment IPA (2006),AmericanК IPA,12,70.0,7g0,N/A,s,Wah Frwkbiswp,
797,Brew Free! or Die IPA (2008),Alabama,12,0Å.07,N/A,368,21st Amendment Brewery,Swh Vrakrywwu,CA
796,Brew Free! or Die IPA (2009),American КIPA,Afghanistan,,,368,,Afghanistan,ZA
531,Special Edition: Allies Win The War!,Alabama,12,0,25,,21st Amendment Brewery,San Francisco,
,sisirC poH,American Double / Imperial IPA,12,,94,368,s,Afghanistan,CA
,Bitter American (2011),Dkerivwi Kakv Xja (APA),12,0.044,,368,21st Amendment Brewery,Fav Nrahzpddm,
321,Fireside Chat (2010),Winter Warmer,12,0,45,863,21st Amendment Brewery,San Francisco,CA
20010101,Badk oj Bldgk,American Bُlack Ale,12,,,368,21st Amendmenࠃt Brewery,San Francisco,CA
11,Monk's Blood,Gfjgnwn Azri Alf,12,0.083,53,368,21sb Xkgndment Tgeferh,Vav Frshdlsco,CA
10,Btew Hxee! ir Aie I'A,American IPA,12,0.07,65,368,21st Amendment Brewery,ocsicnarF naS,CA
9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,12,0.049,17,368,,SӚan Francisco,CA
20010101,s,American IPA,,0.07,82,,3 Dahghjexr Btxaivg,St PeterԊsburg,Alabama
,Beach Blonde,elA ednolB naciremA,12,0.05,,67,3 Daughters Brewing,St Petersburg,FU
20010101,Rod Bender Red,,12,0.059,,67,,,
254Ð5,Passion Fruit Prussia,Bvfkijgr Celastkdr,12,0.035,b11,60,4 Hands Brewing Company,ЫSaint Louis,MO
20010101,Send Help,American Blonde ۆAle,21,,,60,s,Saint Louis,MO
2324,Zdwu Iepv Oehixzp Brosn,American Brown Ale,12,0.055,,6f0,4 Hands Brewing Company,Saint Louis,MO
2Ô288,Reprise Centennial Red,Alabama,Afghanistan,0,,60,4 Hands Brewing Company,siuoL tniaS,Alabama
2287,,American Black Ale,12,0.055,,f60,ynapmoC gniwerB sdnaH 4,Afghanistan,Alabama
