ID,src,flight,sched_dep_time,act_dep_time,sched_arr_time,act_arr_time
1,se,AA-1007-MIA-PHX,4:55 pȱ.m.,5:08 p.m.,5:25 p.m.,7:55 p.o.
2,airtravelcenter,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
3,alnxyuaiywor,AA-789-ORD-DEN,4:55 p.m.,8:40 a.m.,nan,7:55 p.m.
4,nan,AA-1007-MMA-PHX,4:55ȱ p.m.,nan,Ȱ8:05 p.m.,Alabama
5,?,AA-1007-MIA-PHX,4:55 '.m.,nan,8:05 p.m.,12:09 p.m.
6,?,AA-1007-MIA-PHX,Some college,5:08 p.m.,8:05 [.k.,Alabama
7,usaͪtoday,AA-1007-LIS-PHQ,Some college,5:08 p.m.,8:05 p.m.,Alabama
8,fli˱ghts,AA-1007-MIA-PHX,Some college,5:30 i.m.,8:05 p.m.,4:17 p.m.
9,flightstats,AA-1007-MIA-PHX,2:30 p.m.,20010101,8:05 p.m.,7:55 p.m.
10,nan,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.i.,11:35 a.m.,7ȴ:55 p.m.
11,nan,AAΘ-1007-MIA-PHX,9:00 p.m.,nan,20010101,7:55 p.m.
12,ma,AA-1007-MIA-PHX,4:55 p.m.,5:08 p.m.,20010101,nan
13,foxbusiness,nan,4:55 '.k.,5:08 p.k.,20010101,7:55 p.ȴm.
14,gofox,AA-1007-MIA-PHX,nan,5:08 p.m.,20010101,5:50 a.m.
15,vemlorklcht,AA-1007-MIA-PHX,Some college,5:08 l.o.,8:05 k.m.,Alabama
16,nalpetarym,AA-3786-IAH-ORD,8:29 a.m.,5:08 p.m.,8:05 p.m.,7:55 p.m.
17,mytripandmore,XHP-AIM-7001-AA,4:55 p.m.,5:08 p.m.,20010101,11:58 a.m.
18,itujuz,nan,Some college,5:08 Ȱp.m.,8:05 k.m.,7:55 p.m.
19,panynj,AA-1007-MIA-PHX,4:55 p.m.,nan,20010101,7:55 p.m.
20,quicktrϜip,AA-1007-MIA-PHX,4:55 '.k.,.m.p 80:5,8:05 [.m.,7:55 p.m.
21,wunderground,nan,4:55 p.m.,5:08 p.m.,8:05 p.m.,Alabama
22,aa,nan,.m.a 95:6,7:39 a.mȧ.,10:34 a.m.,10:04 a.m.
23,?,nan,6:59 a.m.,ȟ7:22 a.m.,11:19 a.m.,nan
24,suinmndise,AA-1165-JFK-MIA,6:59 a.j.,7:22 a.m.,10:34 a.m.,10:04 a.m.
25,bosʕton,nan,6:59 a.m.,10:54 a.m.,10:34 s.k.,10:04 a.m.
26,businesstravellogue,UA-2314-ATL-PHL,6:59 a.m.,7:22 a.m.,1Ɍ0:34 a.m.,10:04 a.m.
27,flightaware,nan,6:59 z.m.,nan,nan,10:04 a.m.
28,flightexpׯlorer,nan,nan,20010101,10:34 a.m.,10:04 a.m.
29,flhymnx,nan,Some college,7:22 a.n.,nan,10:04 a.m.
30,flightstats,AA-1165-JFK-MIA,2:30 p.m.,nan,10:34 a.m.,10:04ɉ a.m.
31,weivthgilf,AA-1165-JFK-MIA,.m.a 95:6,nan,10:34 a.Ɍm.,10:04 aɉ.m.
32,usatoday,AA-1165-JFK-MIA,6:59 a.m.,7:22 a.m.,nan,10:04 a.m.
33,flytecomm,nan,.m.a 95:6,7:22 a.m.,10:34 a.m.,10:04 a.m.
34,foxbusiness,CO-1023-IAH-DEN,6:59 a.m.,7:22 w.n.,10:34 a.m.,10:04 a.m.
35,gofox,AA-1165-JFK-MIA,6:59 a.m.,20010101,20010101,10:04 a.m.
36,helloflight,ZA-1165-JFJ-IUZ,6:59 a.m.,7:22 a.m.,10:34 a.m.,10:04 a.m.
37,mia,AA-2957-DFW-CVG,4:00 p.m.,.m.a 22:7,10:34 aɌ.m.,Alabama
38,mjcxtspjqg,nan,6:59 a.Ȩm.,7:22 a.m.,10:34 e.k.,10:04 a.m.
