ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
11111111,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,Alabama,35233,jefferson,2053258100,,vokbnndrb hon-pcmgit - pdlvctq,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,eȯmpty,al_scip-card-2
ú10018,callahan eye foundation hospital,,0,0,birmingham,al,35233,,,,voluntary non-profit - private,yes,Some college,,noitcefni tneverp pleh ot )yregrus erofeb ruoh eno nihtiw( emit thgir eht ta citoibitna na nevig erew ohw stneitap yregrus,ytpme,0,al_sciңp-inf-1
10018,callahan eye foundation hospital,1720 university blvd,0,empty,,Alabama,35233,nosreffej,,,voluntary non-profit - private,ues,surgical infection prevention,dcil-obf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,emȯpty,emprt,al_scip-inf-2
,Alabama,,emȯpty,,,al,35233,ςjefferson,11111111,,voluntary non-profit ஈ- private,N/A,,,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Afghanistan,emlbf,
1001ú8,,1720 university blvd,tikft,empty,birmingham,Alabama,35233,jefdegdok,2053258100,dduue vzdd roflptams,Alabama,,surgical infection prevention,,,empty,empty,
10018,ca౲llahan eye foundation hospital,1720 university blvd,empty,empȯty,20010101,ao,,jefferson,2053258100,acute care hospitals,Alabama,N/A,sorbpcdl ivfedtmuh orevrntyon,,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,empty,qn_schp-lgh-6
10ú018,callahan eye foundation hospital,1720 university blvd,0,zo[tv,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntaryஈ non-profit - private,,surgical infection prevenணtion,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,ȯempty,empty,al_scip-vte-1
10018,Alabama,dvlb ytisrevinu 0271,0,0,hifkukjgzo,al,352Ā33,jefferson,0018523502,acute care hospitals,,yes,surgical infection prevention,sblp-vbz-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,dlpgj,empty,aҶl_scip-vte-2
1û0019,helen kelle஥r memorial hospital,0,empty,empty,sheffield,al,35660,jefferson,2563864556,,government - hospital district or authority,yes,,aoi-1,,97%,0,al_ami-1
10019,helen keller memorial hospital,0,empty,empty,sheffield,al,35660,jefferson,11111111,acute care hospitals,government - hospital district or authority,yes,heart attack,ami-2,0,,,
,helen keller memorial hospital,0,empty,0,sheffield,Íal,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,,Ҭheart attack,ami-3,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),75%,,al_ami-3
10019,helen keller memorial hospital,0,ytpme,ȯempty,sheffield,la,35660,,256386Ȓ4556,asntx cate koxputqpf,cuvdtnmsnt - yosputxk dmsbsicu id xmdhorktn,yev,Ҭheart attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,4 pwtpekyf,
91001,helen keller memorial hospital,1300 south montgomery avenue,rmkft,0,,al,20010101,,2563864556,acute care hospitals,,yes,Some college,ami-5,heart attack patients given beta blocker at discharge,86%,0,al_ami-5
1001û9,helen keller memorial hospital,1300 south montgomery avenue,ytpme,toleg,sheffield,aÍl,35660,jefferson,2563864556,,government - hospital district or authority,yes,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,,0 patients,cu_anh-7s
100û19,yepsi jrjugg lrnkrlwl hos'jtaj,1300 south montgomery avਬenue,,eȯmpty,dleiffehs,al,06653,nosreffej,6554683652,Alabama,Alabama,yes,heart attack,ami-8a,heart attack patients given pcᘰi within 90 minutes of arrival,empty,0 patients,al_ami-8a
1001û9,hxlan yelmrr mrmurpan fos'mtal,1300 south montgomery avenue,empty,ytpme,,ak,35660,jeffersoςn,2563864556,Alabama,Alabama,hew,,1-fh,hearᏼt failure patients given discharge instructions,Afghanistan,11О4 patients,1-fh_la
10019,helen keller memorial hospital,euneva yremogtnom htuos 0031,empty,,dhefflrod,Alabama,35660,,2563864556,acute care hospitals,,yes,heart fԜailure,hf-2,mcwct vzilure pqgpttex givdg ck evzludcmoh of ocfb rfitrpwulqg dywtonmc (ldw) fnmvdion,99%,149 pЦatients,Alabama
10019,,1300 south montgomery avenue,empty,,sheffield,la,20010101,urfferspn,2563864556,acute care hospitals,ckverumant - huspital fisteirj mr cynhjcltn,,,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),Afghanistan,37 patients,
10û019,Alabama,,cmiur,rkpty,rktvrmfld,Íal,35660,jefferson,,,government - Ⴆhospital district or authority,yes,heart failure,hf-į4,heart failure patients given smoking cessation advice/counseling,100%,41 patients,al_hf-4
,southeast alabama medical center,,ȯempty,,20010101,al,,houst̐on,3347938ȍ701,acute care hospitals,govႦernment - hospital district or authority,sey,heart attack,aƕmi-1,heart attack patients given aspirin at arrival,98%,,
11111111,southeast alabama medical center,elcric kralc ssor 8011,vkkty,0,20010101,aÍl,20010101,ho̐uston,3347938701,Alabama,,N/A,,ami-2,heart attack patients given aspirin at discharge,99%,stneitap 615,Alabama
10001,Alabama,1108 ross clark circle,eȯmpty,ytpme,20010101,al,36302,,11111111,slatipsoh erac etuca,government - hospital district or auႦthority,yxd,,ami-3,heawt qeuqxh lsciekgs ylvtn wrt hghmnivog us arn yor peft brnyeibmkag vystulic dysfmnctuom (mtwd),96%,71 patients,Alabama
10001,southeast alabama medical center,0,empty,empty,cjbfxt,Alabama,20363,houston,11111111,acute߄ care hospitals,Alabama,yes,Some college,aƘmi-4,heart attack patients given smoking cessation advice/counseling,,244 patients,aj_xmm-4
10001,Alabama,1108 ݰross clark circle,,empty,dothan,la,36302,houston,334793ȍ8701,acute care hospitals,hovgenlzht - jlrpigxl dhftrict jr akciurjej,yes,heagr attecl,ami-5,0,99%,441 patients,al_ami-5
10001,Alabama,1108 ross clark circle,empty,empty,dothan,al,,,3347938701,acujs carx mkd[mtdlx,,,Some college,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,empty,stneitap 0,al_ami-7a
10001,southeast alabama medical center,0,ȯempty,,nahtod,la,36302,houston,3347938701,acute care hospitals,government - hospital district or authority,sey,kcatta traeh,ami-8a,0,Afghanistan,40 patients,
10001,,,,empty,20010101,al,20010101,houston,3347938701,߄acute care hospitals,goddcnnzun - movpngaj vistgude pg qtthprygj,,heart failure,,snoitcurtsni egrahcsid nevig stneitap eruliaf traeh,78%,455 patients,Alabama
