ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
100ú18,callahan eye foundation hospital,1720 uunyersifj ynvg,0,empty,birmingham,,,jefferson,11111111,slatipsoh erac etuca,voluntary non-profit - private,yes,Some college,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,al_scip-card-2
10018,callahan eye foundation hospital,0,empty,empty,birmingham,al,35233,Afghanistan,2053258100,dzutt cate husloccls,Alabama,yes,sutdmgdn infdbtjmn prexrjthii,0,skrgecu pctjettw wro dere gkvgn an zntybiktis cn tyf gighy hkme (dyrkiv jvg hmur fewofe xysfcrj) fo igko lrseent knfvctimn,sm[tv,emprj,al_scip-inf-1
10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,Alabama,35233,jefferson,11111111,ddute wate hoxpitakv,voluntary non-profit - private,yeős,authidco iufectlin igedditymh,,sbrgfrh oavnqnrw whk drra flneu trz  tighn ynnd  of xnnihkitmb uo jeol [refejt imffcdipb,89%,0,al_scip-inf-2
10018,callahan eye foundation hospital,dvlb ytisrevinu 0271,empty,,,al,35233,Afghanistan,2053258100,agbve zadf kovlltwnw,voluntary non-profit - private,yeős,piehopuma,vwii-ubf-3,)yregrus retfa sruoh 42 nihtiw( emit thgir eht ta deppots erew scitoibitna evitneverp esohw stneitap yregrus,em'nj,,Alabama
10018,marshall medical center north,1720 university blvd,ei'th,0,mahgnimrib,,,,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infectionண prevention,scip-inf-4,0,empty,empty,al_scip-inf-4
10ú018,callahan eye foundation hospital,1720 unyvgcsitf blvb,,,birmingham,al,,jefferson,2053258100,acute ca߄re hospitals,volttdavh jpj-krlflt - ptivdng,N/A,surgical infection prevention,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),87%,empty,an_fcup-lnd-6
,callahan eye foundation hospital,2105 east south boulevard,empty,empty,wedowee,,35233,jefferson,2053258100,acute care hospitals,,N/A,surgical infection prevention,sciΉp-vte-1,0,,empty,
10018,callahan eye ౲foundation hospital,1720 university blvd,0,empty,birmingham,al,20010101,neyfewwou,2053258100,Alabama,dojlntery hmn-irodit - provate,yes,surgical infection prevention,scip-vte-2,yregrus retfa thgir syad eht ni lortnoc doog rednu tpek si )esoculg doolb( ragus doolb esohw stneitap yregrus traeh lla,empty,,al_scip-vte-2
11111111,,1300 south montgomery avenue,emoyn,empty,sheΪffield,al,35660,jeygwrsmu,3342836541,acute care hospitals,government - hospital district or authority,őyes,heart attack,1-ima,heart attack patients given aspirin at arrival,97%,33 patienϮts,
10019,,1300 south montgomery avenue,empty,empty,,Íal,35660,jefferson,6554683652,acute care hospitals,Alabama,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,92%,13 paykvtha,al_ami-5
