ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
131,334681,Teaching medical student geriatrics competencies in 1 week: an efficient model to teach and document selected competencies using clinical and community resources,nan,Journal of the American Geriatrics Society,J.Am.Geriatr.Soc.,14-Feb,55,7,1/13/01,1182-7,{Jamehl L. DemonsJeff D. WilliamsonKathryn E. CallahanJames LovatoJanice S. LawlorHal H. AtkinsonAnn LambrosFranklin S. WatkinsKaycee M. SinkBrooke R. DavisMary F. Lyles}
664,681305,Pooled analysis of non-union re-operation infection and approach related complications after anterior odontoid screw fixation.,eng,Proceedings of the Asme Pressure Vessels and Piping Conference 2010 Vol 7,PloS one,0041-1337,140,7,1/15/01,e103065,{Yong-Long ChiXiao-Lei ZhangNai-Feng TianYao-Sen WuXin-Lei WuXiang-Yang WangFang-Min MaoLi-Jun WuXu-Qi Hu}
872,691035,Behaviour change interventions to promote prescribing of generic drugs: a rapid evidence synthesis and systematic review.,eng,J Appl Physiol,nan,2044-6055,4,5,1/14/01,37-41 DO  - 10.1080/10810730902805788,{Thirimon Moe-ByrneDuncan ChambersMelissa HardenCatriona McDaid}
100,420138,Dietary practices of ballet jazz and modern dancers,nan,nan,nan,1878-3570,92,3,1/1/92,319-324,{Michiel A J KompierEtty G A Wielenga-MeijerDani_l H J WigboldusToon W Taris}
373,180827,Postamputation pain: epidemiology mechanisms and treatment,nan,Energy Policy,nan,0301-4215,47,2,1/12/01,141-149,{W. YuR. PaganiL. Huang}
88,220950,Forensic odontology: A prosthodontic view,eng,nan,nan,nan,4,1,1/5/01,nan,{S. GosaviS. Gosavi}
459,850788,Acute and Persistent Postoperative Pain after Breast Surgery,nan,Dissertation Abstracts International A: The Humanities and Social Sciences,nan,nan,0,0,1/13/11,708-715,{N. Klauber-DeMoreK. FechoN. R. MillerW. S. BlauS. A. MerrittC. S. Hultman}
331,352040,Usefulness of a Survey on Underage Drinking in a Rural American Indian Community Health Clinic,nan,The British journal of radiology,nan,nan,0,2,1/13/01,26-Jan,{Joel W. GrubeJuan A. LunaDavid A. GilderJennifer RobertsDaniel CalacCindy L. EhlersRoland S. Moore}
215,77389,Teaching Calculus and Other Challenging Courses to Nontraditional and At-Risk Students at a Research University.,eng,Critical reviews in oncology/hematology,nan,1879-0461,84,1,1/15/01,nan,{Emile E VoestSaskia C C M TeunissenAlexander de GraeffMarija Trajkovic-Vidakovic}
467,968211,Ebus-tbna yields multiple gene analyses and a panel of immunohistochemical stains on routinely prepared cell blocks in non-small cell lung cancer cases,nan,Laboratory Investigation,nan,0023-6837,95,0,nan,823-830,{Z. MalekiO. Nikolskaia}
122,491837,Pathways of care-seeking during fatal infant illnesses in under-resourced South African settings.,eng,Vox Sanguinis,nan,-5990,57,2,1/12/02,542-549,{Peter J WinchMickey ChopraCynthia S MinkovitzDebra JacksonAlyssa B Sharkey}
615,145770,Outcomes from patients with multi-vessel disease following primary PCI: staged PCI imparts very low mortality.,eng,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,Catheter Cardiovasc Interv,1471-2288,4,2,1/11/04,617-22,{E. MainardiG. MoscatoA. MontanelliM. DottiR. Nano}
21,82614,Balancing Identity Motivation and Internal Dialogue in the Making of Solos: Conquering the High Wire,nan,Cancer prevention research (Philadelphia Pa.),nan,nan,6,7,1/13/12,iii-vii,{[Collective Name] American Thoracic Society Respiratory Impairment and Disability Evaluation GroupPhilip HarberMargaret C HaggertyChristopher G Slatore}
701,349150,[Use of statins prior to or following invasive therapy for coronary artery disease].,nan,nan,nan,nan,126,0,nan,nan,{J. LeB. RiegelB. J. BobrowA. L. BlewerB. S. AbellaM. LearyD. Buckler}
72,826030,A cognitive behavior intervention program in women with unexplained chest pain--a pilot study,nan,European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology,The Journal of hand surgery,1474-5151,15,2,1/12/01,183-9,{Cecilia Bj_rkelundMargaretha Jerlock}
107,718292,High intensity interval exercise training in overweight young women,nan,nan,nan,nan,31,3,1/12/01,nan,{Y. FengyingY. HainaiW. JianxiongT. Sijie}
271,163839,Twisting the night away: a review of the neurobiology genetics diagnosis and treatment of shift work disorder.,nan,Curr. Probl. Cardiol.,nan,-10475,33,0,nan,1945-52,{Michael LutherKari KorpilahtiMatti R TarkkaHeini HuhtalaJari LaurikkaJan-Ola WistbackaPertti Loponen}
861,951143,Multiresistance of clinically relevant gram-positive cocci,nan,European respiratory journal,nan,nan,44,0,1/14/01,261-4,{S. T. VisserM. J. PostmaP. DenigF. M. De VriesE. Hak}
436,616298,Health literacy diabetes self-care and glycemic control in adults with type 2 diabetes,eng,nan,nan,nan,103,0,1/8/01,113-129,{J. NaesdalM. DanilewitzJ. AdlerD. G. DA  - Oct DO  - 10.1111/j.1572-0241.2008.02115.x DP  - NLM ET  - 2008/09/09 SilbergC. HwangD. A. Drossman}
103,491006,The exercise prescription: focus on vascular mechanisms.,nan,nan,nan,nan,24,12,1/15/01,324-326,{A. KelirisI. KoutsourelakisA. MinaritzoglouS. Zakynthinos}
