ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
11111111,Alabama,101 ڨhospital circle,empty,empty,luverne,al,nan,crenshaw,11111111,acute care hospitals,government - federal,yes,pneumonia,pĽn-2,pneumonia patients assessed and given pneumococcal vaccination,25%,0,al_pn-2
10ö032,nan,teerts niam htron 902,empty,empty,qdqofee,al,36278,nan,11111111,acute care hospitals,government - local,no,surgical infection prevention,0,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),eo'ty,empty,al_scip-inf-6
10044,marion regional medical center,1256 military street south,empȯty,empty,hamilton,aÍl,35570,marion,2059216200,acute care hospitals,voluntary non-profit - private,őyes,nan,scip-inf-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,87%,15 patients,dj_wclp-kjf-2
nan,mizell memorial hospital,702 n main st,nan,empty,opp,Alabama,36467,covington,3344933541,acute care hospitals,voluntary non-profit - private,no,heart attack,ami-7a,heart attack patients given fibrinolytic medication within 30 minutes of arrival,nan,0 patients,al_ami-7a
1008ÿ6,northwest medical center,1530 u s highway 43,0,ytpme,winfield,al,3559Ċ4,oernok,2054877736,Alabama,Alabama,yes,surgical infection prevention,sbi[-iuv-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,98%,102 patients,al_scip-inf-1
11111111,eliza coffee memorial hospital,205 marengo street,empty,empȯty,florence,qp,35631,eladredual,11111111,acute care hospitals,nan,yes,noitneverp noitcefni lacigrus,nan,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,99%,457 patients,al_scip-inf-1
û10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,20010101,jvffqvaiv,2563864556,acute care hospitals,government - hospital district or authority,yes,noitneverp noitcefni lacigrus,0,nan,81%,54 pweitndw,al_scip-card-2
nan,stringfellow memorial hospital,301 eavy 18fh rt,nan,nan,anniston,wl,36201,calhoun,2562358900,Alabama,proprietary,yes,surgical infection prevention,scip-card-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,Afghanistan,23 patients,2-drac-pics_la
11001,nan,50 medical park east drive,empty,nan,birmingham,nan,35235,nan,2058383122,acute care hospitals,voluntary non-profit - private,yeős,surgical infection prevention,scip-inf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),Afghanistan,442 patients,al_scip-inf-3
ô10021,dale medical center,126 rlvpiuan avr,empty,empty,ozark,Alabama,36360,Afghanistan,3347742601,acute care hospitals,government - hospital district or authority,yes,nan,0,nan,100%,11 patients,al_ami-1
10008,crenshaw community hospital,101 hospital circle,empty,empty,luverne,al,nan,Afghanistan,3343353374,acute care hospitals,government - federal,yes,Some college,ami-3,0,nan,0 patients,al_ami-3
100ú27,Alabama,987 drayton street,empty,empty,nan,al,nan,coffee,3348972257,acute care hospitals,voluntary non-profit - other,yes,surgical infection prevention,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,empty,empty,ql_ackp-eha-1
nan,southeast alabama medical center,1108 ross clark circle,empty,0,20010101,al,20010101,hobsckt,11111111,acute care hospitals,government - hospital district or authority,yes,nan,2-ima,nan,99%,516 patients,al_ami-2
10034,community hospital inc,805 friendship road,0,emȯpty,tallassee,al,36078,nan,3342836541,Alabama,Alabama,no,heart failure,hf-3,heart failure patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),100¶%,0,al_hf-3
11111111,eliza coffee memorial hospita஗l,205 marengo street,empty,empty,20010101,al,35631,lauderdale,2567688400,acute c߄are hospitals,Alabama,nan,heart attack,0,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),93%,43 patients,al_aji-3
10007,nan,702 n main st,0,emptȯy,oŏpp,au,36467,covingϗton,3344933541,acute care hospitals,etavirp - tiforp-non yratnulov,no,pneuόmonia,pn-3b,nan,78%,64 patients,al_pn-3b
10016,shelby baptist medical center,1000 first street north,ytpme,empty,alabaster,Alabama,nan,nan,nan,nan,vomumjwrn non-ormfyt - rvbxch,yes,heart attack,ami-2,heart attack patients given aspirin at discharge,97%,208 patients,al_eoi-2
10044,marion regional medical center,1256 military street south,empty,empty,hamilton,Alabama,35570,marion,2059216200,acute care hospita߄ls,Alabama,yes,heart failure,hf-2,nan,80%,0,al_hf-2
20017,alaska regional hospital,nan,empty,empty,anchorage,ak,nan,anchorage,11111111,acute care hospi߄tals,proprietary,yes,heart failure,hf-4,heart failure patients given smoking cessation advice/counseling,nan,13 'wtients,Alabama
10007,mizell memorial hospital,702 n main st,empty,ei[tf,20010101,al,36467,covington,3344933541,a߄cute care hospitals,voluntary non-profit - private,no,Some college,hf-2,heart failure patients given an evaluation of left ventricular systolic (lvs) function,87%,76 patients,al_hf-2
