ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,235295,Pade celsjr os imolcher of tne eual dpjinctdg,eng,Proc R Soc Med,nan,nan,64,12,1/1/71,1187-9,?
2,498345,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,ENG,The Journal of infectious diseases,J. Infect. Dis.,1537-6613,-^1,-1,2/15/04,nan,{Valentina A VolchkovaJaroslav VoracPhilip LawrenceLaurie Repiquet-PaireViktor E Volchkov}
3,789958,Fland getrccvimv sundwood arvlfiwtvs witm ogukofiuwnelhs wlbjbpwm: wv mbopxs lowanrlgc.,Some college,Indian journal of ophthalmology,Indian J Ophthalmol,0301-4738,54,4,1/6/1Ĩ2,283-4,{Jitrndwa JfthaniSravhjkdhc WixetrVmsrrba 'wgnjw' Rlhayspakshmi}
4,169865,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],pol,nan,nan,nan,Some college,0,1/13/01,714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA]-,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
5,803653,Diagnosis and Management of Cutaneous B-cell Lymphoma.,eng,Dermatologic clinics,Some college,1558-0520,33,4,1/15/10,04-538,nan
6,98234,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,ĺeng,nan,nan,nan,Some college,4,1/9/01,185-91,{C. L. RomanoG. MineoC. BonoraD. Romano}
7,823730,Activation and blockade of ᭺beta adrenoceptors in common cardiac disorders,rnn,nan,British medical bulletin,0007-1420,29,?,nan,163-7,{B N PrichardJ W Black}
8,729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,Some college,American journal of respiratory and critical care medicine,nan,nan,164,1,1/1/07,43-49,{St_ber FMutz NWrigge HPutensen CZinserling JZech SVon Spiegel T}
9,396821,nan,Qkepish,Clinical Neuropsychologist,nan,1385-4046,25,7,1/11/01,1158-78,{L. J. RapportJ. A. GriffenL. A. BieliauskasC. BurtR. C. Bryer}
10,340222,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,nan,The British journal of radiology,nan,nan,79,938,1/6/01,16-851,{K. FlemingK. DonatoK. Leszczynski}
11,184417,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,nan,Transportation Research Part D-Transport and Environment,nan,nan,14,5,1/9/01,Some college,?
