ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
1,658981,Late repair of injuries of the anal sphincter,eng,Acta radiologica (Stockholm Sweden : 1987),nan,0035-9157 (Print) 0035-9157,64,12,1/11/05,1187-9,{A. G. ParksJ. F. McPartlin}
4,215650,[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA],nan,nan,nan,nan,19,7,10/24/14,nan,{G. JakielK. GorzelnikJ. G. ZimowskiT. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 RoszkowskiJ. Bijok}
6,107979,Pregabalin celecoxib and their combination for treatment of chronic low-back pain,nan,nan,nan,nan,35,4,12/1/70,34-41 ST  - Shedding health risks with bariatric weight loss surgery-,{C. L. RomanoG. MineoC. BonoraD. Romano}
8,741279,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,English; ABSTRACT LANGUAGE:English,American journal of respiratory and critical care medicine,nan,nan,22,3,1/1/07,441-55,{V CerabonaM WachockaU MoscatoV CamisaM G TucciS ZaffinaV MontaldiA Poscia}
10,280418,Effects of control over office workspace on perceptions of the work environment and work outcomes,nan,nan,nan,nan,1,2,1/6/01,S67-8 1p,{K. FlemingK. DonatoK. Leszczynski}
15,280418,Modelling the effects of subjective and objective decision making in scientific peer review.,eng,nan,nan,nan,17,8,nan,e867-98,{T. Sone}
19,854628,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,English,Neuropharmacology,nan,Jan-68,139,3,1/14/01,366-74,{Y TakagiN HashimotoY Goto}
22,657210,A performance improvement process to tackle tachysystole,eng,nan,nan,nan,40,6,1/11/01,nan,{Demetrios J. KutsogiannisNeil K. SinglaFrances ChungStephen R. LaneJeremey LevinJoseph V.J. PergolizziBrendan JohnsonLinda BlackburnSonia K. Singla}
23,514411,Osteoid osteoma treated by percutaneous thermal ablation: when do we fail? A systematic review and guidelines for future reporting.,eng,Critical reviews in oncology/hematology,Mycoses,1432-086X,37,8,1/6/01,1530-9,{C. JayasumanaR. GajanayakeS. Siribaddana}
25,690938,An Assessment of Voluntary Adolescent Mental Health Screening and Referral in a Children's Hospital Emergency Department,nan,Scandinavian Journal of Gastroenterology,nan,nan,56,23,1/8/03,nan,{Enie Akhtar Bt NawawiAhlam M Al-KharabshehTsia-Shu Lo}
27,378490,Services for children and adolescents with autism spectrum disorders: payment issues.,nan,JAMA neurology,J Plast Reconstr Aesthet Surg,1555-2101,18,12,1/12/06,1892-900,{John B. Sell}
28,971878,Effect of pedaling technique on mechanical effectiveness and efficiency in cyclists.,nan,nan,nan,nan,35,11,1/10/01,152-9,{K. MiyoshiT. NomaT. MutoH. HagitaT. Horiguchi}
30,19086,Extended-release naltrexone plus medical management alcohol treatment in primary care: Findings at 15 months,Eng,Int. J. Radiat. Oncol. Biol. Phys.,nan,15265161 (ISSN),154,9,1/9/01,1245-50,{NULL}
31,671386,Unsuspected ethanol ingestion through soft drinks and flavored beverages,nan,The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi,nan,1598-9992,0,6,1/8/12,462-70,{NULL}
32,629530,Infusing Tolerance Diversity and Social Personal Curriculum into Inclusive Social Studies Classes Using Family Portraits and Contextual Teaching and Learning,eng,Eur. Heart J.,nan,0195-668X,0,2,1/7/09,269-77,{Jaimee L. HeffnerJonathan BrickerBryan ComstockChristopher Wyszynski}
33,828156,Optimal Starting Age for School Attendance: FY76 Issue Analysis,eng,nan,nan,nan,0,5,1/1/74,835-42,{M. PujolP. BarragnJ.M. TiraboschiA. ImazM.. Dom_nguezD. Podzamczer}
34,379737,Efficacy immunogenicity and safety of a pentavalent human-bovine (WC3) reassortant rotavirus vaccine at the end of shelf life,eng,European Heart Journal,nan,0077-8923,37,0,1/10/03,625-7,{F GatesP Clifton-BlighG FulcherL HoskinR Hansen}
35,217418,Prognostic value of morning blood pressure surge in clinical events: a meta-analysis of longitudinal studies.,eng,Neurobiology of aging,nan,1532-8511,24,2,1/5/01,Aug-71,{Yan-Xin ZhaoJun-Chao XieXue-Yuan LiuHan Yan}
36,361682,Child sexual abuse as a risk factor for sexual risk behaviours among socially disadvantaged adolescents in Ibadan Nigeria.,nan,Am J Public Health,nan,1745-0128 1745-0136,24,3,1/13/01,nan,{B O Olley}
41,790756,Dosimetric analysis of proton pencil beam scanning radiation therapy versus dose painted intensity modulated radiation therapy for squamous cell carcinoma of the anal canal,nan,Journal of Women & Aging,nan,0360-3016,74,1,nan,nan,{Kooy H.Hong T.S.Symonifka J.Depauw N.Wo J.Y.}
47,321660,Strategies for partner notification for sexually transmitted infections including HIV.,nan,nan,nan,nan,0,0,nan,nan,{NULL}
48,530323,Strategies for partner notification for sexually transmitted infections including HIV.,nan,International journal of obesity (2005),nan,1469-493X,10,3,1/7/01,141-51,{A. R. AleandriD. ManciniT. CosentiniR. Le DonneN. Colavita}
50,864817,A pilot study of rituximab in patients with recurrent classic Hodgkin disease.,nan,nan,nan,nan,21,0,1/10/01,nan,{B. EscudierA. RavaudF. RollandA. BlesiusB. BeuzelinkS. OudardC. Chevreau}
