ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
131,517503,[Limited experience in adrenocortical function tests in infants].,nan,Computers & chemical engineering,J.Am.Geriatr.Soc.,nan,61,7,1/13/01,1182-7,{Gilles MontalescotGordon FitzGeraldKurt G Barringhaus[Collective Name] GRACE InvestigatorsFrans Van de WerfJoel M GoreDavid D McManusJos L_pez-Send_nPhilippe Gabriel StegKay Lee Park}
664,681305,Dyspareunia and sexual dysfunction following vaginal delivery in thai primiparous women with second degree perineal tear: A prospective cohort study,eng,PLoS One,nan,1464-0325,0,1,1/14/01,e103065,{NULL}
872,691035,Behaviour change interventions to promote prescribing of generic drugs: a rapid evidence synthesis and systematic review.,nan,Bmj Open,nan,2044-6055,4,2,1/7/01,nan,{Thirimon Moe-ByrneDuncan ChambersMelissa HardenCatriona McDaid}
100,382853,Dietary practices of ballet jazz and modern dancers,nan,Journal of the American Dietetic Association,J Am Diet Assoc,1878-3570,92,10,1/1/92,1228-37,{M LadettoD CaraccioloG RossiC MarinoneL BerguiA CutticaA SalomoneM BoccadoroI RiccaC TarellaM PaganoF ZallioP GavarottiA PileriA de Crescenzo}
373,26216,CO2 emission inventories for Chinese cities in highly urbanized areas compared with European cities,nan,Energy Policy,nan,0007-0912,47,2,1/12/01,346-352,{Ugurel S.Schadendorf D.Garbe C.Trefzer U.Egberts F.Hassel J.Weichenthal M.Hauschild A.Mauch C.Gutzmer R.}
88,220950,Forensic odontology: A prosthodontic view,nan,nan,nan,nan,4,0,1/12/01,S29-36,{S. GosaviS. Gosavi}
459,746065,Acute and Persistent Postoperative Pain after Breast Surgery,nan,J Toxicol Environ Health,nan,nan,10,288,1/9/01,708-715,{N. Klauber-DeMoreK. FechoN. R. MillerW. S. BlauS. A. MerrittC. S. Hultman}
331,352040,Usefulness of a Survey on Underage Drinking in a Rural American Indian Community Health Clinic,nan,nan,nan,nan,20,0,1/3/10,26-Jan,{A. FilipovichM. JordanS. DaviesR. MarshP. KhandelwalM. GrimleyS. ChandraA. KumarS. JodeleP.A. MehtaK. MyersJ. Bleesing}
215,200077,Remote presence proctoring by using a wireless remote-control videoconferencing system,eng,Circulation,nan,nan,0,1,1/13/01,615-7,{Emile E VoestSaskia C C M TeunissenAlexander de GraeffMarija Trajkovic-Vidakovic}
467,968211,Ebus-tbna yields multiple gene analyses and a panel of immunohistochemical stains on routinely prepared cell blocks in non-small cell lung cancer cases,nan,Cancer research,nan,nan,76,0,1/15/01,207-13,{W. FrehnerS. AeschbacherL. RischT. SchonM. RischG. PareD. Conen}
122,843485,A qualitative exploration of the cancer experience among long-term survivors: comparisons by cancer type ethnicity gender and age.,eng,Pediatrics,nan,1878-3503,40,0,1/12/02,305-11,{A. H. Samarkandi}
615,730822,MicroRNAs: a new piece in the paediatric cardiovascular disease puzzle.,eng,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions,Anesth Analg,1522-726X,77,5,1/11/04,617-22,{Gilles MontalescotGordon FitzGeraldKurt G Barringhaus[Collective Name] GRACE InvestigatorsFrans Van de WerfJoel M GoreDavid D McManusJos L_pez-Send_nPhilippe Gabriel StegKay Lee Park}
21,82614,Teaching Calculus and Other Challenging Courses to Nontraditional and At-Risk Students at a Research University.,nan,Journal of Biomolecular Techniques,nan,0092-8240,2,12,nan,341-6,{M CaliskanM Karab_c_ogluA CitakN UzelK AydinA NayirD D Soysal}
701,187769,Primary Banded Roux-en-Y Gastric Bypass: a Systematic Review.,nan,nan,nan,nan,29,0,1/9/05,nan,{J. LeB. RiegelB. J. BobrowA. L. BlewerB. S. AbellaM. LearyD. Buckler}
72,826030,A cognitive behavior intervention program in women with unexplained chest pain--a pilot study,eng,Cirug_a Peditrica: Organo Oficial De La Sociedad Espaola De Cirug_a Peditrica,Soc Sci Med,nan,11,0,1/10/01,320-6,{R. ArabyatD. W. Raisch}
107,417782,Cultural humility: essential foundation for clinical researchers.,nan,nan,nan,nan,19,15,1/14/01,74570A-74570A-9,{Jeff KnightJeffery M SmithThomas E TrumbleWren V McCallister}
271,836847,Thoracic Aortic Aneurysm: Reading the Enemy's Playbook,nan,Curr. Probl. Cardiol.,nan,-10475,33,5,nan,A176,{Y.-J. DuX.-M. ZhuB. SangC.-J. YangC.-L. Liu}
861,129552,Can we improve the follow up of asthmatic patients with asthma educational program (PAMA)? [Abstract],nan,European respiratory journal,nan,nan,44,0,1/15/02,112-7,{Corinn Taylor}
436,49274,Haemodynamic ischaemia in paediatric moyamoya disease associated with renovascular hypertension.,nan,nan,nan,nan,103,0,1/8/01,214-8,{S IkawaM SudohM SuzukiS MatsubaraM ShiotaK Kawakami}
103,752305,Transapical aortic valve implantation in 175 consecutive patients: excellent outcome in very high-risk patients.,nan,nan,nan,nan,106,2,1/1/99,761-762,{E Fujimaki}
