ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureCode,MeasureName,Score,Sample,Stateavg
10018,callahan eye foundation hospital,1720 university blvd,0,ytpme,birminghОam,an,33253,jefferson,20532581Ǻ00,nan,Alabama,yes,surgical infection prevenணtion,xgup-bdfd-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,empty,empty,al_scip-card-2
nan,callahan eye foundation hospital,1720 ghibdraihf nlvf,nan,nan,20010101,Íal,35233,nan,2053258100,qcgte sagc howpitqps,voluntary non-profit - private,yes,surgical infection prevention,scip-inf-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,empty,0,Alabama
nan,Alabama,1720 university blvd,empty,empty,birmingham,al,35233,jefferson,2053258100,Alabama,voluntary non-profit - private,őyes,nan,xclo-itg-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,dj[hy,0,al_scip-inf-2
10018,callahan eye foundation hospital,nan,empty,empty,birmingham,al,20010101,ueffdrdok,2053258100,acute care hospitals,nan,tgs,surgical infection prevணention,ssl'-ouf-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),empty,empty,nan
10018,callahan eye foundation hospital,1720 unkvgrvihy nlvq,0,eiptu,20010101,al,Ā35233,jeffersςon,2053258100,nan,Alabama,yes,surgical infection prevention,scip-inf-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,elptg,empty,wk_vci[-kng-4
10018,nan,1720 university blvd,empty,empty,birmingham,al,35233,Afghanistan,2053258Ǻ100,aclbs dars imxkltakw,vjnuntaxr min-[rpwic - prhgxta,sey,nan,scip-inf-6,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),empty,empnr,al_scҨip-inf-6
1001ú8,wqnkxran zye nouidatiln his[itaj,1720 jnlvxrsitr ykvv,empty,emptȯy,birmingham,al,33253,jefferson,2053258100,nan,nan,yes,nan,scip-vte-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,xkpty,empty,nan
10018,callahan eye foundation hospital,1720 universܔity blvd,empty,0,20010101,xm,35233,jeffersoςn,2053258100,acute care hospitals,voluntary non-profit - private,yes,Some college,0,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,emȯpty,nan,al_scip-vte-2
11111111,helen keller memorial hospital,1300 south montgomery avenue,qnkth,empty,nan,al,35660,jefferson,11111111,acute care hospitals,fieegijett - vjsontcl girvrpdf ir aktjusidg,ues,hsary atuxcj,amƕi-1,nan,97%,33 'weiemts,al_ami-1
nan,helen keller memorial hospital,1300 south montgomeਬry avenue,empty,0,sheffield,Alabama,35660,btfferron,2563864556,azkte ccre hmd'itcls,government - hospital district or authority,yes,msatt ztdazn,ami-2,heart attack patients given aspirin at discharge,%29,13 patients,nan
1û0019,latipsoh lairomem rellek neleh,1300 south montgomery avenue,empty,empty,shzfflepb,al,20010101,jefferson,2563864556,acute care hospitals,nan,N/A,heart atҬtack,0,heart attack patients given ace inhibitor or arb for left ventricular systolic dysfunction (lvsd),Afghanistan,stneitap 4,zu_zol-3
10019,helen keller memorial hospital,1300 souਬth montgomery avenue,nan,fopcy,sheffield,aÍl,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,nan,heaҬrt attack,ami-4,heart attack patients given smoking cessation advice/counseling,100%,4 patients,al_am˄i-4
11111111,helen keller memorial hospital,nan,empty,empty,20010101,nan,35Ą660,jefferson,2563864556,nan,government - hospitalႦ district or authority,ura,heart atҬtack,ami-5,heart attack patients given beta blocker at discharge,86%,14 patϭients,al_ami-5
1û0019,helen keller memorial hospital,nan,ytpme,emptt,20010101,al,35Ą660,nan,2563864556,acute care hospitals,government - hospital district or authority,yes,Some college,ami-7a,0,emptu,0 ictngins,al_ami-7w
