ID,id,beer_name,style,ounces,abv,ibu,brewery_id,brewery_name,city,state
1,1218,Pub Beer,American Pale Lager,12.0,0.05,nan,107,10 Barrel Brewing Company,Bend,OR
2049,1389,Osiris Pale Ale,American Pale Ale (APA),16.0,0.056,50.0,25,Sun King Brewing Company,Indianapolis,IN
2,2265,Devil's Cup,American Pale Ale (APA),16.0,0.066,nan,177,18th Street Brewery,Gary,IN
3,737,Rise of the Phoenix,American Amber / Red Lager,12.0,0.06,nan,177,18th Street Brewery,Gary,CA
2051,1650,Stupid Sexy Flanders,Flanders Oud Bruin,16.0,0.06,18.0,25,Sun King Brewing Company,Indianapolis,NV
4,2263,Sinister,German Pilsener,12.0,0.09,nan,177,18th Street Brewery,Gary,IN
5,2262,Sex and Candy,American IPA,12.0,0.075,nan,177,18th Street Brewery,Gary,IN
7,2459,Lake Street Express,American Pale Ale (APA),12.0,0.045,nan,177,18th Street Brewery,Gary,IN
2055,1127,Bourbon Barrel Wee Mac,Scottish Ale,16.0,0.054,nan,25,Sun King Brewing Company,Indianapolis,IN
8,2259,Foreman,American Porter,12.0,0.078,nan,177,18th Street Brewery,Tampa,IN
2056,1049,Bourbon Barrel Johan,English Barleywine,16.0,0.05,60.0,25,Sun King Brewing Company,Indianapolis,CO
9,86,Jade,American Pale Ale (APA),12.0,0.055,nan,177,18th Street Brewery,Gary,IN
2059,874,Sun King Oktoberfest,American Amber / Red Ale,12.0,nan,23.0,1,Sun King Brewing Company,Indianapolis,IN
2060,739,Indianapolis Indians Lager,Dortmunder / Export Lager,16.0,0.072,45.0,25,Sun King Brewing Company,Indianapolis,IN
13,2097,Garce Selé,Saison / Farmhouse Ale,12.0,0.069,nan,177,18th Street Brewery,Gary,IN
15,1979,Bitter Bitch,American Pale Ale (APA),16.0,0.061,60.0,177,18th Street Brewery,Gary,IN
17,2170,Cherried Away,Cider,12.0,0.06,nan,154,2 Towns Ciderhouse,Corvallis,OR
2065,532,Grapefruit Jungle (GFJ) (2011),American IPA,16.0,0.075,nan,25,Sun King Brewing Company,Indianapolis,IN
19,1502,BrightCider,Cider,12.0,0.06,nan,154,2 Towns Ciderhouse,Corvallis,OR
2067,2179,Johan the Barleywine,Kölsch,16.0,0.099,60.0,46,Sun King Brewing Company,Indianapolis,IN
20,1593,He Said Baltic-Style Porter,Baltic Porter,16.0,0.052,nan,368,21st Amendment Brewery,San Francisco,CT
2069,55,Sunlight Cream Ale,Cream Ale,16.0,0.053,20.0,259,Sun King Brewing Company,Indianapolis,IN
22,1036,Lower De Boom,American Pale Lager,12.0,0.071,nan,106,21st Amendment Brewery,San Francisco,CA
23,1795,Fireside Chat,Winter Warmer,12.0,0.079,45.0,327,21st Amendment Brewery,San Francisco,CA
2072,1206,Red Clay IPA,American IPA,12.0,0.06,nan,455,Sunken City Brewing Company,Denver,VA
25,711,Bitter American,American Pale Ale (APA),12.0,0.044,130.0,368,21st Amendment Brewery,San Francisco,TX
26,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,16.0,0.042,nan,258,21st Amendment Brewery,San Francisco,CA
2074,2231,Doomtree,Extra Special / Strong Bitter (ESB),16.0,0.057,nan,61,Surly Brewing Company,Brooklyn Center,MN
2075,1739,BLAKKR,American Black Ale,16.0,0.065,85.0,401,Surly Brewing Company,Brooklyn Center,MN
2077,2514,WET,American IPA,16.0,0.075,90.0,61,Surly Brewing Company,Brooklyn Center,MN
30,797,Brew Free! or Die IPA (2008),American IPA,16.0,0.07,32.0,368,21st Amendment Brewery,San Francisco,CA
2078,19,Bitter Brewer,English Bitter,16.0,0.04,37.0,61,Surly Brewing Company,Brooklyn Center,MN
2079,18,SurlyFest,Rye Beer,16.0,0.055,34.0,61,Surly Brewing Company,Utica,MN
32,1218,Special Edition: Allies Win The War!,American IPA,12.0,0.057,52.0,368,21st Amendment Brewery,San Francisco,CA
2080,17,Coffee Bender,American Pale Ale (APA),12.0,0.08,45.0,436,Surly Brewing Company,Brooklyn Center,MN
33,432,Hop Crisis,American Double / Imperial IPA,12.0,0.097,94.0,368,21st Amendment Brewery,Brooklyn Center,CA
35,321,Fireside Chat (2010),Winter Warmer,12.0,0.079,45.0,182,21st Amendment Brewery,San Francisco,CA
2083,14,Hell,Cream Ale,12.0,0.052,20.0,380,Surly Brewing Company,Indianapolis,MN
