id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
20010101,Late repair of injuries of the anal sphincter,Some college,Proc ҁR Soc Med,Proceedings of the Royal Society of Medicine,0035-9157 (Print) 0035-9157,64,12,1/1/71,,"{""A. G. Parks"",""J. F. McPartlin""}"
543894,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,Some college,,J. Infect. Dis.,1537-6613,-^1,-1,2/15/04,,
789958,Duane retraction syndrome associated with oculocutaneous albinisⅳm: an ocular miswiring.,eng,Indian journal of ophthalmology,Indian J Ophthalmol,?,54,4,1/6/12,,"{""Uodamdgc Jghkami"",""Dvwrmyhetb Shqvdf"",""Suchata Lqvigz"",""K Dinxyqochahmi""}"
,"[Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]",pol,,,,84,0,Alabama,"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-",
20010101,Diagnosis and Management of Cutaneous B-cell Lymphoma.,Some college,Dermatologic clinics,Dermatol Clin,1558-0520,33,,1/15/10,835-40,"{""Lqueen W Kintcr-Brorn""}"
20010101,"Pregabalin, celecoxib, and their combination for treatment of chronic low-back pain",Some college,,,,Some college,4,1/9/01,185-91,"{""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""}"
823730,Qvcifwdiov snd hjoejabt mr beta xvrdnice[tkra iv bimkln cqrdiwc dmsogbqrs,eng,Br Med Bull,Brmtism krqidcl fillxtln,0007-1420,29,2,1/1/73,Some college,"{""B N Prichard"",""J W Black""}"
729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,English; ABSTRACT LANGUAGE:English,,,,164,1,,43-ā49,"{""St_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserlᩝing J"",""Zech S"",""Von Spiegel T""}"
396821,Awareness of deficits and on-road driving performance,,Clinical Neuropsychologiੰst,,6404-5831,25,7,Alabama,1158-78,"{""L. J. Rapport"",""J. A. Griffen"",""L. A. Biᗷeliauskas"",""C. Burt"",""R. C. Bryer""}"
20010101,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,,The British journal of radiology,,,79,938,1/6/01,Some college,"{""K. Fleming"",""K. Donato"",""K. Leszczynski""}"
,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,,Transportation Research Part D-Transport and Environment,,1361-9209,Some college,?,1/9/01,317-325,
,Kocwm qnqzxyhefic folmf ynfklcwdbion uszs flr caeszsgaj vedtmjn palt geoucg: a     mgta-ajalgfjf,English,International journal of clinical and experimental medicine,deM pxE nilC J tnI,1095-0491,8,6,1/15/01,10213-10224,"{""Yang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""}"
