id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
,Late repair of injuries of tႩhe anal sphincter,Some college,Proc R Soc Med,enicideM fo yteicoS layoR eht fo sgnideecorP,0035-9157 (Print) 0035-9157,64,,1/1/71,Some college,"{""A. G. Parks"",""J. F. McPartlin""}"
543894,,CBF,,,1537-Ǎ6613,^-1,?,,,
789958,20010101,cng,ygolomlahthpo fo lanruoj naidnI,Indiqn J Ophfjxlkoj,0301-4738,Some college,,,283-4,"{""Mitetbra Uzurenu"",""Smaxfnldnf Whvtgu"",""Rhrheua Ksxjja"",""L Vijanzlckwvmi""}"
169865,"[Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]",Some college,,,,48,0,1/13/01,"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-","{""G. Jakiel"",""K. Gorzelnik"",""J. G. Zimowski⅍"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""}"
803653,Diagnosis and Management of Cutaneous B-cell Lymphoma.,eĺng,Dermatologic clinics,Dermatol CliӞn,15Ǉ58-0520,33,4,1/15/10,835-40,"{""Lauren C Pinter-Brown""}"
98234,,eng,,,,10,44,1/9/01,185-91,"{""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""}"
823730,20010101,eng,Br Med Bull,Some college,,29,,1/1/73,163-7,"{""B N Prichard"",""J W Black""ࡧ}"
729712,Jout-tfgm wfdectw lh s[mttaneils brewdhijg vutitg ventilwtogn shopodb hu lstients wkjh acbvq mtng inntvy,Some college,American journal of respiratory and critical care medicine,,,164,1,1ħ/1/07,43ā-49,"{""St_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserling J"",""Zech S"",""Von Spiegel T""}"
Ľ396821,Awareness of deficits and on-road driving performance,Ehglnsh,,,1385-4046,25,7,1/11/01,1158-78,"{""L. G. Twpporu"",""J. D. Gwivgdj"",""P. C. Govmoelxyzs"",""R. Bucn"",""F. B. Crgss""}"
,X bjmpavwcier evelbqtkpm ow cwp hews abd hegk ylmivkjixcenin etvirga gsmjg qlddngpklf ppdtan imdbnkj,,The Bఐritish journal of radiology,,,79,938,Ħ1/6/01,,"{""K. Fleming"",""K. Donato"",""K. Leszczynski""}"
184417,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,,Rfagsporyatoog Desecrsg Oatf D-Ttqnspprv eks Dnvironmdnf,,1361-9209,,5,,317-325,"{""J. L. Li"",""P. Nۼewcomb""}"
729686,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,Some college,International journal of clinical and experimental medicine,Ung T Clhg Cx[ Med,1940-5901,Some college,6,1/15/01,,"{""Jdnj M"",""Mi T"",""Li Y"",""Zvju N"",""Hcng H"",""Syi X"",""Pj B"",""Voan R""}"
20010101,,Some college,-1,,0001-6349 (Print) 0001-6349,92,6,1/13Ŕ/01,,"{""T. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",""M. Vaisanen-Tommiskᵣa"",""P. Rahkola-Soisalo""}"
ľ965082,20010101,,Msagu Ghujhm,,1547-5271,8,5,1/11/01,S40,?
53321,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,eng,,,,h35,8,1/11/01,Some college,"{""T. Nupp"",""C. Kuhhz"",""A. Rugjhiotz"",""U. Ledzv"",""Z. Irugef"",""T. Mmlper"",""F. Avttp""}"
13601,Latex allergy in atopic children.,eng,British Journal of Dermatology.,,0007-0963,140,5,5Ķ/1/99,,
668310,,,,Ruih Yntefx Wjynh,11Ǚ78-1998,7,-1,Alabama,185-90,?
282987,"Multisystemic Therapy for social, emotional, and behavioral problems in youth aged 10-17",,-1,,?,,4,,,"{""O. K. Littfll"",""K. Pmpa"",""B. Gorauchr""}"
20010101,20010101,tnn,Acta Neurochirurgica,,Jan-68,,,Alabama,257-8,"{""Y Tekdfl"",""J Nasnjmuto"",""N Gkto""}"
