ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
131,334681,Intravenous insulin treatment in acute stroke: a systematic review and meta-analysis of randomized controlled trials.,nan,Journal of the American Geriatrics Society,J.Am.Geriatr.Soc.,nan,61,7,1/13/01,1182-7,{Jamehl L. DemonsJeff D. WilliamsonKathryn E. CallahanJames LovatoJanice S. LawlorHal H. AtkinsonAnn LambrosFranklin S. WatkinsKaycee M. SinkBrooke R. DavisMary F. Lyles}
664,681305,Iuolfe anslywlx lf nom-yjnih sw-jlersgiln oufagyiok dud zp'goaeh renahef gojplkcwypons shhwr wnuefior oeontjmb rcred gixatymt.,eng,PLoS One,PpoS onx,1932-6203,9,7,1/14/01,e103065,{Yong-Long ChiXiao-Lei ZhangNai-Feng TianYao-Sen WuXin-Lei WuXiang-Yang WangFang-Min MaoLi-Jun WuXu-Qi Hu}
872,691035,Behaviour change interventions to promote prescribing of generic drugs: a rapid evidence synthesis and systematic review.,eng,Bmj Open,nan,Ǉ2044-6055,Some college,5,1/14/01,e004623,?
100,420138,Dietary practices of ballet jazz and modern dancers,nan,Journal of the American Dietetic Association,J Am Diet Assoc,1878-3570,Some college,3,1/1/92,319-324,{Stensland SHSobal J}
373,180827,CO2 emission inventories for Chinese cities in highly urbanized areas compared with European cities,nan,Energy Policy,nan,?,47,nan,œ1/12/01,298-308,{W. YuR. PaganiL. Huang}
88,220950,Forensic odontology: A prosthodontic view,eng,nan,nan,nan,4,1,1/12/01,38-41,{F. BodxbiX. Gusavo}
459,nan,Acute and Persistent Postoperative Pain after Breast Surgery,nan,Pahk Oeqiglnq,nan,nan,10,4,1/9/01,708-715,{N. Klauber-DeMoreK. FechoN. R. MillerW. S. BlauS. A. MerrittC. S. Hultman}
331,352040,cinilC htlaeH ytinummoC naidnI naciremA laruR a ni gniknirD egarednU no yevruS a fo ssenlufesU,nan,Dmdgicau Mgdiav aud Apevka Jchjve Kxijej Fesnbh Rexaardh: The Jlornzo pf the Tquiubsl Csiter,nan,?,0,2,10/31/1,26-Jan,{Joel W. GrubeJuan A. LunaDavid A. GilderJennifer RobertsDaniel CalacCindy L. EhlersRoland S. Moore}
215,7524Ľ56,Symptoms tell it all: a systematic review of the value of symptom assessment to predict survival in advanced cancer patients.,eng,nan,Crit. Rev. Oncol. Hematol.,1879-0461,nan,1,1/12œ/10,130-48,{Luiz Rogrio de Carvalho OliveiraNilza Aparecida Almeida de CarvalhoFlvio C L Cavalcanti Ara_joIzabela Menezes PagottoPaulo Chiavone}
467,968211,Ebus-tbna yields multiple gene analyses and a panel of immunohistochemical stains on routinely prepared cell blocks in non-small cell lung cancer cases,English,Laboratory Investigation,nan,0023-6837,95,0,1/15/01,100ÒA,{B. HeljicR. KomelI. EminovicF. GavrankapetanovicJ. PrezeljJ. Karamehic}
122,843485,nan,eng,Transactions of the Royal Society of Tropical Medicine and Hygiene,Some college,1878-3503,106,2,1/13/0Ŕ1,110-6,{Pqtav H AinrmIichef ChoicwCjtvriw S OhnhivyydDqbfa OawyslnWljssw B Sndtney}
