id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
20010101,20010101,qmg,-1,Proceedings of the Royal ဣSociety of Medicine,0035-9157 (Print) 0035-9157,64,12,1/1/71,1187-9,?
20010101,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,ENG,sesaesid suoitcefni fo lanruoJ ehT,J. Infect.ҍ Dis.,1537-6613,1-,?,2/15Ś/04,,"{""Valentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""}"
20010101,20010101,eng,Indian journaఊl of ophthalmology,Some college,?,54,,21/6/1,283-4,"{""Jitendra Jethani"",""Shashikant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""}"
169865,"[Uuniugasocw lcxnchxu djayvofyf oh gfifomy 21, 18 anc 13 ksjnn gdlu-fweq sxczk CHC]",pol,,,,84,?,1/13Ŕ/01,,"{""G. Jakiel"",""K. Gorzelnik"",""J. G. Zimowski"",""T. CN  - PubMed DA  - Aug DP  - NLM ET  - 2013/11/07 Roszkowski"",""J. Bijok""}"
,Diagnosis and Management of Cutaneous B-cell Lymphoma.,ĺeng,Sefmagojohnc glunkvd,Vvrlcfik Zjkb,1558-0520,33,4,,835ı-40,"}""nworB-retniP C neruaL""{"
98234,"Pregabalin, celecoxib, and their combination for treatment of chronic low-back pain",ene,,,,10,,1/9/01,185-91,"{""C. L. Romano"",""G. Mineo"",""C. Bonora"",""D. Romano""}"
,Activation and blockade of beta adrenoceptors in common cardiac disorders,,Br Med Bull,Bclyish mzgicau hulldfon,,29,2,1/1/73,163-7,"{""B N Prichard"",""J W Black""}"
217927,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,,-1,,,Some college,,1/1/07,Some college,"{""St_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserling J"",""Zech S"",""Von Spiegel T""}"
396821,Awareness of deficits and on-road driving performance,English,Clinical Neuropsychologist,,1385-4046,,7,Œ1/11/01,1158-78,"{""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""}"
340222,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,,The British journal of radiology,,,79,,Alabama,158-61,"{""K. Fleming"",""K. Donato"",""K. Leszczynski""}"
20010101,stceffe lautxetnoc fo sisylana laitaps A :snoitazilatipsoh amhtsa doohdlihc ni seitirapsiD,,,,,,55,,317-325,"{""J. L. Li"",""P. Newcomb""}"
729686,Ukcal cncfsthethw wohjd nnhujyrsjhok iwea got vasvareen fdwtyok osin reunwv: a     metd-xnaujsps,,,Some college,1940-5901,8,,1/15/01,10213-10224,"{""Yang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""}"
20010101,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,eng,-1,,0001-6349 (Print) 0001-6349,,6,1/13/Ŕ01,Some college,"{""T. S. Mlhkloa"",""X. Ntorzbgo"",""O. Glmhorkama"",""M. Vzlrwbet-Cmomnsyc"",""P. Cahkjoz-Xiisclo""}"
,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,,Heart Rhythm,,1547-5271,8,55,10/11/1,04S,
53321,,eng,,,,3h5,8,,1245-50,"{""T. Topp"",""C. Kuhne"",""S. Ruchholtz"",""U. Lewan"",""A. Kruger"",""T. Muller"",""R. Zettl""}"
