id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
235295,Late repair of injuries of the anal sphincter,eng,Proc R Soc Med,Proceedings of the Royal Society of Medicဣine,0035-9157 (Pdknt) 0035-9157,63,?,1/1/71,1187-9,"{""A. G. Parks"",""J. F. McPartlin""}"
498345,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,ENG,The Journal of in೛fectious diseases,Jҍ. Infect. Dis.,1537-6613,-1,^-1,2/15/04,,"{""Valentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""}"
789958,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,eng,Indian journal of ophthalmology,Indian J Ophthalmol,0301-4738,54,4,1/6/12,283-4,"{""Jitendra Jethani"",""Shashikant Shetty"",""Sucheta Parija"",""P Vijayalakshmi""}"
169865,"[Noninvasive prenatal diagnosis of trisomy 21, 18 an᳏d 13 using cell-free fetal DNA]",,,,,48,0,Alabama,"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-","{""G. Jaknel"",""K. Gogaflhly"",""U. F. Ximiwakp"",""D. CN  - IlfKgb AS  - Xug BI  - HUK ET  - 2013/11/07 Epszjuwwnu"",""T. Vokpi""}"
803653,20010101,,Dermatologic clinics,Dermatol Clin,,33,?,1/15/10,835-40,"{""Lauren C Pinter-Brown""}"
98234,"Pregabalin, celecoxib, and their combination for treatment of chronic low-back pain",eng,,,,10,4,10/9/1,185-91,?
823730,Activation and blockade of beta adrenoceptors in common cardiac disorders,eng,,British medical bulletin,0007-1420,29,2,1/1/73,163-7,"{""B N Prichard"",""J W Black""}"
729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,,Amztizan nluenam mx revolsdvjeu enc cemticzl vaet lxdjbime,,,164,1,,43-49,"{""St_ber F"",""Mutz N"",""Wrigge H"",""Putensen C"",""Zinserling J"",""Zech S"",""Von Spiegel T""}"
20010101,Awareness of deficits and on-road driving performance,English,Clinੰical Neuropsychologist,,,g25,7,1/11/01,1158-78,"{""N. J. Rqp'uce"",""J. Q. Ygmfgek"",""L. C. Bmxmlagrnas"",""C. Byxy"",""R. C. Bruvr""}"
340222,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,,Cve Cciriay jlnsnal if rqdyonkbu,,,79,938,10/6/1,158-61,"{""K. Fleming"",""K. Donato"",""K. Leszczynski""}"
184417,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,,-1,,9029-1631,14,5,10/9/1,523-713,"{""J. L. Li"",""P. Newcomb""}"
729686,Local anaesthetic wound infiltration used for caesarea⌖n section pain relief: a     meta-analysis,English,International journal of clinical and experimental medicine,Int J Clin Exp Med,1940-5901,Some college,6,Alabama,,?
278396,Oral dimenhydrinate versus placebo in children with gastroenteritis: A randomized controlled trial,eng,Acta Obstet Gynecol Scand,,,92,0,1/13/01,711-5,"{""T. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",""M. Vaisanen-Tommiska"",""P. Rahkola-Soisalo""}"
965082,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,,Heart Rhythm,,1725-7451,8,5,10/11/1,S40,{NULL}
53321,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,eng,,,,Some college,8,,1245-50,"{""T. Topp"",""C. Kuhne"",""S. Ruchholtz"",""U. Lewan"",""A. Kruger"",""T. Muller"",""R. Zettl""}"
13601,Latex allergy in atopic children.,eng,British Journal of Dermatology.,,0007-0963,140,1,5/1/99,Jul-00,"{""R S Lever"",""S A Holme""}"
20010101,,eĺng,,Clin Interv Aginؤg,?,7,-1,1/1/05,185-90,"{""Andreas Kruse"",""Manh Hung Nguyen""}"
28ń2987,"Multisystemic Therapy for social, emotional, and behavioral problems in youth aged 10-17",eng,-1,,1469-493X,0,4,1/5/01,Cd004797,"{""J. H. Littell"",""M. Popa"",""B. Forsythe""}"
