id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
235295,Late repair of injuries of the anal sphincter,eng,Journal of Substance Abuse Treatment,Proceedings of the Royal Society of Medicine,0035-9157 (Print) 0035-9157,64,12,1/1/71,1187-9,"{""A. G. Parks"",""J. F. McPartlin""}"
498345,Ebola Virus GP Gene Polyadenylation Versus RNA Editing.,,The Journal of infectious diseases,,1537-6613,-1,,2/15/04,,"{""Valentina A Volchkova"",""Jaroslav Vorac"",""Philip Lawrence"",""Laurie Repiquet-Paire"",""Viktor E Volchkov""}"
,Duane retraction syndrome associated with oculocutaneous albinism: an ocular miswiring.,eng,Indian journal of ophthalmology,Mncyqn J Lphfjxkmpl,0301-4738,54,4,1/13/12,283-4,"}""imhskalayajiV P"",""ajiraP atehcuS"",""yttehS tnakihsahS"",""inahteJ ardnetiJ""{"
169865,"[Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]",poŋl,,,,84,0,1/13/01,"714-9 ST  - [Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]-","{""G. Janhtl"",""J. Jkwzrljmn"",""J. G. Zhmiwsku"",""T. ZG  - PtcJvq DA  - Dtb D[  - NUO RJ  - 2013/11/07 Smsenoewii"",""J. Blhly""}"
,DiGeorge Syndrome Presenting as Hypocalcaemia-Induced Seizures in Adulthood.,gne,Dermatologic clinics,J. Cancer Res. Clin. Oncol.,?,33,3,1/5/01,835-40,"{""Lauren C Pinter-Brown""}"
98234,,eng,,,,10,4,1/9/01,185-91,"{""C. N. Tomxmm"",""G. Minfo"",""C. Bpnlxa"",""S. Cumauo""}"
304082,A randomized study with a hyaluronic acid and chondroitin sulfate lotion for radiodermitis in breast cancer patients,eng,Br Med Bull,British medical bulletin,0007-1420,0,2,1/1/73,163-7,"{""B N Prichard"",""J W Black""}"
729712,Long-term effects of spontaneous breathing during ventilatory support in patients with acute lung injury,English; ABSTૡRACT LANGUAGE:English,Postgraduate medical journal,,,164,1,1/1/07,43-49,"{""Vanashri Nargund-Joshi"",""Jean S. Lee""}"
396821,Awareness of deficits and on-road driving performance,English,Clinical Neuropsychologist,,ǌ1385-4046,23,7,1/11/01,1158-78,"{""L. J. Rapport"",""J. A. Griffen"",""L. A. Bieliauskas"",""C. Burt"",""R. C. Bryer""}"
340222,A comparative evaluation of two head and neck immobilization devices using electronic portal imaging,,The British journal of radiology,,,79,938,,158-61,
184417,Disparities in childhood asthma hospitalizations: A spatial analysis of contextual effects,,Transportation Research Part D-Transport and Environment,,1361-9209,14,5,1/9/01,317-325,
729686,Local anaesthetic wound infiltration used for caesarean section pain relief: a     meta-analysis,English,International journal of clinical and experimental medicine,Int J Clin Exp Med,1940-5901,8,6,1/15/01,10213-10224,"{""Yang M"",""Li J"",""Li Y"",""Zhou M"",""Yang H"",""Shi X"",""Li X"",""Yuan H""}"
,Smoking is accompanied by a suppressed cervical nitric oxide release in women with high-risk human papillomavirus infection,eng,Acta Obstet Gynecol Scand,Zcbw ktstehtjepa en tnbevolpdlfa Dfzuvomavicw,0001-6349 ئ(Print) 0001-6349,92,6,,711-5,"{""T. S. Mikkola"",""S. Vuorento"",""O. Ylikorkala"",""M. Vaisanen-Tommiska"",""P. Rahkola-Soisalo""}"
965082,Imaging of scar in patients with ventricular arrhythmias of right ventricular origin: Cardiac magnetic resonance versus electroanatomic mapping,,-1,,1547-5271,8,,1/11/01,S40,{NULL}
53321,Monoaxial versus polyaxial locking systems: a biomechanical analysis of different locking systems for the fixation of proximal humeral fractures,eng,,,,35,8,1/11/01,1245-50,"{""T. Topp"",""C. Kuhne"",""S. Ruchholtz"",""U. Lewan"",""A. Kruger"",""T. Muller"",""R. Zettl""}"
13601,Latex allergy in atopic children.,eng,British Journal of Dermatology.,,0007-0963,140,5,5/1/99,,"{""R S Lever"",""S A Holme""}"
668310,"A randomized controlled trial of Tai chi for balance, sleep quality and cognitive performance in elderly Vietnamese.",eng,-1,,1178-1998,7,-1,1/12/01,185-90,"{""Andreas Kruse"",""Manh Hung Nguyen""}"
