ID,id,article_title,article_language,journal_title,jounral_abbreviation,journal_issn,article_jvolumn,article_jissue,article_jcreated_at,article_pagination,author_list
131,334681,Teaching medical student geriatrics competencies in 1 week: an efficient model to teach and document selected competencies using clinical and community resources,nan,Journal of the American Geriatrics Society,nan,14-Feb,61,7,1/13/01,1182-7,{Jamehl L. DemonsJeff D. WilliamsonKathryn E. CallahanJames LovatoJanice S. LawlorHal H. AtkinsonAnn LambrosFranklin S. WatkinsKaycee M. SinkBrooke R. DavisMary F. Lyles}
664,681305,Pooled analysis of non-union re-operation infection and approach related complications after anterior odontoid screw fixation.,nan,PLoS One,PloS one,1932-6203,9,7,nan,139-145,{Yong-Long ChiXiao-Lei ZhangNai-Feng TianYao-Sen WuXin-Lei WuXiang-Yang WangFang-Min MaoLi-Jun WuXu-Qi Hu}
872,691035,Behaviour change interventions to promote prescribing of generic drugs: a rapid evidence synthesis and systematic review.,eng,Bmj Open,nan,2044-6055,49,5,1/14/01,e004623,{Thirimon Moe-ByrneDuncan ChambersMelissa HardenCatriona McDaid}
100,420138,Dietary practices of ballet jazz and modern dancers,nan,Journal of bone and mineral research : the official journal of the American Society for Bone and Mineral Research,J Am Diet Assoc,nan,92,3,1/1/92,319-324,{Y.-J. DuX.-M. ZhuB. SangC.-J. YangC.-L. Liu}
373,180827,CO2 emission inventories for Chinese cities in highly urbanized areas compared with European cities,nan,Energy Policy,nan,0301-4215,47,0,1/12/01,298-308,{W. YuR. PaganiL. Huang}
88,220950,Forensic odontology: A prosthodontic view,eng,nan,nan,nan,4,1,1/12/01,e213-8,{S. GosaviS. Gosavi}
459,850788,Acute and Persistent Postoperative Pain after Breast Surgery,nan,Psychosomatic medicine,nan,nan,10,4,1/9/01,708-715,{N. Klauber-DeMoreK. FechoN. R. MillerW. S. BlauS. A. MerrittC. S. Hultman}
331,854628,Usefulness of a Survey on Underage Drinking in a Rural American Indian Community Health Clinic,nan,American Indian and Alaska Native Mental Health Research: The Journal of the National Center,nan,1533-7731,20,2,1/13/01,26-Jan,{Joel W. GrubeJuan A. LunaDavid A. GilderJennifer RobertsDaniel CalacCindy L. EhlersRoland S. Moore}
215,77389,Symptoms tell it all: a systematic review of the value of symptom assessment to predict survival in advanced cancer patients.,French,nan,Crit. Rev. Oncol. Hematol.,1879-0461,84,-1,1/12/10,130-48,{Emile E VoestSaskia C C M TeunissenAlexander de GraeffMarija Trajkovic-Vidakovic}
467,968211,Ebus-tbna yields multiple gene analyses and a panel of immunohistochemical stains on routinely prepared cell blocks in non-small cell lung cancer cases,English,Laboratory Investigation,nan,0023-6837,95,0,1/15/01,Apr-41,{Choi GSKim JHPark HSYe YMKim SHKim JEJin HJ}
122,843485,Pathways of care-seeking during fatal infant illnesses in under-resourced South African settings.,eng,Transactions of the Royal Society of Tropical Medicine and Hygiene,Trans. R. Soc. Trop. Med. Hyg.,1878-3503,52,2,1/12/02,694-702,{Peter J WinchMickey ChopraCynthia S MinkovitzDebra JacksonAlyssa B Sharkey}
615,145770,Outcomes from patients with multi-vessel disease following primary PCI: staged PCI imparts very low mortality.,eng,Turkish Online Journal of Educational Technology - TOJET,nan,nan,14,5,1/11/04,617-22,{Gilles MontalescotGordon FitzGeraldKurt G Barringhaus[Collective Name] GRACE InvestigatorsFrans Van de WerfJoel M GoreDavid D McManusJos L_pez-Send_nPhilippe Gabriel StegKay Lee Park}
21,82614,Lycopene metabolite apo-10'-lycopenoic acid inhibits diethylnitrosamine-initiated high fat diet-promoted hepatic inflammation and tumorigenesis in mice.,eng,Cancer prevention research (Philadelphia Pa.),nan,2158-0979,6,12,1/13/12,1304-16,{Lynne M AusmanMartin S ObinXiang-Dong WangChun LiuBlanche C IpDonald E SmithKang-Quan Hu}
701,187769,Feasibility of using hospital personnel to create a sustainable CPR training program for family members of hospitalized patients,nan,nan,nan,nan,126,0,1/12/01,nan,{J. LeB. RiegelB. J. BobrowA. L. BlewerB. S. AbellaM. LearyD. Buckler}
72,826030,A cognitive behavior intervention program in women with unexplained chest pain--a pilot study,eng,European journal of cardiovascular nursing : journal of the Working Group on Cardiovascular Nursing of the European Society of Cardiology,Eur J Cardiovasc Nurs,1474-5151,32,4,1/12/01,454-460,{Cecilia Bj_rkelundMargaretha Jerlock}
107,764224,High intensity interval exercise training in overweight young women,nan,nan,nan,nan,52,3,1/12/01,255-62,{C K NaspitzJ O Warner}
271,836847,Mediterranean diet and metabolic syndrome: an updated systematic review.,nan,Curr. Probl. Cardiol.,nan,-10475,33,5,nan,493-503,{Elefteriades J.A.}
861,470615,Can we improve the follow up of asthmatic patients with asthma educational program (PAMA)? [Abstract],nan,European respiratory journal,nan,nan,289,0,1/14/01,P3021,{B N PrichardJ W Black}
436,843485,Randomized double-blind placebo-controlled trial of the 5-HT1A receptor antagonist AZD7371 tartrate monohydrate (robalzotan tartrate monohydrate) in patients with irritable bowel syndrome,eng,nan,nan,nan,6,0,1/8/01,2562-9 ST  - Randomized double-blind placebo-controlled trial of the 5-HT1A receptor antagonist AZD7371 tartrate monohydrate (robalzotan tartrate monohydrate) in patients with irritable bowel syndrome-,{Cynthia J. Carson}
103,491006,Preventing injuries through interventions for problem drinking: a systematic review of randomized controlled trials,English,nan,nan,nan,24,2,1/15/01,160-6,{A. KelirisI. KoutsourelakisA. MinaritzoglouS. Zakynthinos}
